# BEAST v1.9.0pre20160930 Prerelease https://github.com/beast-dev/beast-mcmc/commit/f5e0bdd
# Generated Sun Mar 19 16:11:25 GMT 2017 [seed=7864]
# -seed 7864 -overwrite -beagle -beagle_CPU -beagle_SSE -beagle_opencl -beagle_double -beagle_scaling dynamic -beagle_async -beagle_instances 4 ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.Strict-Skyline.1500.completehistory_asymRegion.sub3.n10.xml
state	totalChangeCount	completeHistory_1
0	23.0	{{1,0.20565910766548884,Brazil_Southeast,Brazil_North},{1,1.7567067444519213,Brazil_Southeast,Brazil_North},{1,1.1010451707042157,SouthAmerica,Brazil_North},{1,0.5482699729703184,Brazil_Northeast,Brazil_North},{1,1.28237995892867,SouthAmerica,Brazil_Southeast},{1,1.0322180698666312,SouthAmerica,Caribbean},{1,1.4068574671969054,SouthAmerica,CentralAmerica},{1,0.8539081384884444,SouthAmerica,CentralAmerica},{1,0.8036296964107721,SouthAmerica,CentralAmerica},{1,13.774801937339229,SouthEastAsia,Micronesia},{1,0.7612531480302633,Caribbean,SouthAmerica},{1,1.5634223322727627,Brazil_Northeast,CentralAmerica},{1,2.2483644379577856,Brazil_Northeast,SouthAmerica},{1,2.0369569762743014,Brazil_Northeast,Brazil_North},{1,1.3109813364358345,Caribbean,Brazil_Southeast},{1,1.8017924441098503,Brazil_Northeast,Caribbean},{1,1.684899313691902,Brazil_Northeast,Brazil_North},{1,1.3101033139829215,Brazil_Northeast,Brazil_Southeast},{1,1.2750254849583298,Brazil_Southeast,Brazil_Northeast},{1,1.817043355884453,Brazil_Southeast,SouthAmerica},{1,2.3199884983812984,Brazil_Northeast,Brazil_Southeast},{1,2.9108879458687293,Polynesia,Brazil_Northeast},{1,4.3211444077591885,SouthEastAsia,Polynesia}} 23
5000	26.0	{{1,0.44042804969657046,Brazil_Southeast,Brazil_North},{1,1.0781301375845669,Brazil_Southeast,Brazil_North},{1,1.387087741695636,SouthAmerica,Brazil_North},{1,1.0647831953242175,SouthAmerica,Brazil_North},{1,1.6614472487344156,Brazil_Northeast,SouthAmerica},{1,1.3344424979396035,SouthAmerica,Brazil_North},{1,1.5064754598695738,Brazil_Southeast,Brazil_Northeast},{1,0.4229602490093831,SouthAmerica,Brazil_Southeast},{1,0.9870595551553347,SouthAmerica,Caribbean},{1,0.9496171069834215,SouthAmerica,CentralAmerica},{1,0.605789712523754,SouthAmerica,CentralAmerica},{1,0.6444459677675323,Caribbean,SouthAmerica},{1,7.504333550953498,Micronesia,SouthEastAsia},{1,1.2996536884452787,Brazil_Southeast,Brazil_Northeast},{1,1.3748678707607858,CentralAmerica,SouthAmerica},{1,1.4065062155038877,Brazil_Southeast,CentralAmerica},{1,1.1766674108110315,Brazil_Southeast,Brazil_North},{1,2.204078794790889,Brazil_Southeast,CentralAmerica},{1,1.5832938422854606,SouthAmerica,Brazil_North},{1,2.174369485225972,Brazil_Southeast,SouthAmerica},{1,2.3598957279551116,Brazil_Northeast,Brazil_Southeast},{1,1.3678979677623475,Caribbean,Brazil_Southeast},{1,1.6470712935664538,Brazil_Northeast,Caribbean},{1,3.053982572880327,Polynesia,Brazil_Northeast},{1,4.634622190303223,SouthEastAsia,Polynesia},{1,13.022422067813519,Micronesia,SouthEastAsia}} 26
10000	25.0	{{1,0.15749915835020328,Brazil_Southeast,Brazil_North},{1,0.6108240548288517,Brazil_Southeast,Brazil_North},{1,1.628287623214145,SouthAmerica,Brazil_North},{1,2.2260792365171755,Brazil_Southeast,Brazil_North},{1,1.0952830569735887,Brazil_Southeast,Brazil_Northeast},{1,2.0889863809163685,Brazil_Southeast,Brazil_Northeast},{1,1.673032394753354,Brazil_Southeast,Brazil_Northeast},{1,1.073674872766404,SouthAmerica,Brazil_Southeast},{1,0.6825181276560642,SouthAmerica,Caribbean},{1,1.5269549863067213,Brazil_Southeast,Caribbean},{1,0.6176119225248677,SouthAmerica,CentralAmerica},{1,0.8473072774406545,SouthAmerica,CentralAmerica},{1,0.5839191286992501,SouthAmerica,CentralAmerica},{1,11.396718273051963,SouthEastAsia,Micronesia},{1,0.8924741883981346,Caribbean,SouthAmerica},{1,2.1411334322866504,Brazil_Southeast,CentralAmerica},{1,1.7954620097650644,SouthAmerica,Brazil_North},{1,2.2646241440796357,Brazil_Southeast,SouthAmerica},{1,1.800692189318621,Brazil_Southeast,SouthAmerica},{1,1.65610775627242,Brazil_Southeast,Brazil_Northeast},{1,1.0201212180840666,Brazil_Southeast,Brazil_North},{1,1.5098665040826833,Brazil_Southeast,Caribbean},{1,2.3604800996992528,Brazil_Southeast,Brazil_Northeast},{1,2.7317600583255257,Polynesia,Brazil_Southeast},{1,6.251860964340772,SouthEastAsia,Polynesia}} 25
15000	29.0	{{1,1.0605399622602105,Brazil_Northeast,Brazil_North},{1,1.277586145119988,SouthAmerica,Brazil_North},{1,0.9589249269142911,Brazil_Northeast,Caribbean},{1,0.6422304060826843,Caribbean,Brazil_Northeast},{1,1.7397993871704271,Brazil_Northeast,Caribbean},{1,1.3062733047557025,Caribbean,Micronesia},{1,0.9022675641978519,Micronesia,Brazil_Southeast},{1,0.9255119604903761,Brazil_Northeast,Brazil_Southeast},{1,0.5549943155137516,SouthAmerica,Brazil_Southeast},{1,0.7553742016636766,SouthAmerica,Caribbean},{1,1.5502256443322475,SouthAmerica,CentralAmerica},{1,0.9152119993966511,SouthAmerica,CentralAmerica},{1,1.2674968374563929,SouthAmerica,Brazil_North},{1,1.2396782000599917,Brazil_North,CentralAmerica},{1,9.811179595454476,SouthEastAsia,Micronesia},{1,0.571670322125603,Brazil_Southeast,SouthAmerica},{1,6.583483488181336,Polynesia,SouthEastAsia},{1,1.6230594183506994,Brazil_Northeast,Brazil_Southeast},{1,2.01679533757516,SouthAmerica,Brazil_North},{1,2.232960590118509,Brazil_Northeast,SouthAmerica},{1,2.261907470452743,Brazil_Northeast,CentralAmerica},{1,1.71806142890788,Brazil_Northeast,SouthAmerica},{1,0.8315320575854764,Brazil_North,Brazil_Southeast},{1,2.179878405906379,Brazil_Northeast,Brazil_North},{1,1.396768221309138,Brazil_Northeast,Caribbean},{1,1.3885172844479343,Brazil_Northeast,Brazil_Southeast},{1,2.6150915658008786,Polynesia,Brazil_Northeast},{1,9.896363246650338,SouthEastAsia,Micronesia},{1,8.146590464608453,Micronesia,Polynesia}} 29
20000	25.0	{{1,0.7124021132790928,Brazil_Northeast,Brazil_North},{1,1.1521343944482658,SouthAmerica,Brazil_North},{1,2.2587873841743087,Brazil_Northeast,Brazil_North},{1,1.4949368289101486,Brazil_Northeast,Brazil_Southeast},{1,1.2615505030824332,Brazil_Northeast,Brazil_Southeast},{1,1.6053534753016219,SouthAmerica,Brazil_Southeast},{1,0.7513599562097091,SouthAmerica,Caribbean},{1,0.7537153464415173,SouthAmerica,CentralAmerica},{1,1.1260836559638316,SouthAmerica,SouthEastAsia},{1,1.0493981305179663,SouthEastAsia,CentralAmerica},{1,0.9947025480956417,SouthAmerica,CentralAmerica},{1,15.244772954881286,SouthEastAsia,Caribbean},{1,12.535656128020483,Caribbean,Micronesia},{1,0.9057314909303295,Brazil_Southeast,SouthAmerica},{1,1.285996341789613,Brazil_Southeast,Caribbean},{1,1.50511651863908,Brazil_Northeast,Brazil_Southeast},{1,1.4879753926578756,Brazil_Northeast,SouthAmerica},{1,1.3798167923355535,Brazil_Northeast,Brazil_Southeast},{1,0.6678729184596294,Brazil_North,Brazil_Southeast},{1,1.5156918453062986,Brazil_Northeast,Brazil_North},{1,1.730683445074539,SouthAmerica,Brazil_North},{1,2.00902724943743,CentralAmerica,SouthAmerica},{1,2.139325690018419,Brazil_Northeast,CentralAmerica},{1,2.6733693959471068,Polynesia,Brazil_Northeast},{1,4.142798598421544,SouthEastAsia,Polynesia}} 25
25000	34.0	{{1,0.19053349891788007,Brazil_Southeast,Brazil_North},{1,1.4670974428092307,Brazil_Northeast,Brazil_North},{1,1.597924837446868,Brazil_Northeast,Brazil_North},{1,0.9873201791271596,Brazil_Northeast,Brazil_North},{1,1.148646454724214,Brazil_Northeast,Brazil_North},{1,0.6581375543765178,Brazil_Northeast,Brazil_Southeast},{1,0.6996911139922368,Brazil_Northeast,CentralAmerica},{1,0.31417973492187623,CentralAmerica,Brazil_Southeast},{1,0.5952297251562888,Brazil_Northeast,SouthAmerica},{1,0.4678231426637244,SouthAmerica,Brazil_Southeast},{1,0.4378998391503738,SouthAmerica,Caribbean},{1,0.33042646180393853,Brazil_Southeast,Caribbean},{1,0.88195437668036,Brazil_Northeast,CentralAmerica},{1,0.5532129638452148,SouthAmerica,CentralAmerica},{1,0.8122363518987361,SouthAmerica,CentralAmerica},{1,13.57766681992262,Brazil_Southeast,Micronesia},{1,1.2010278486020811,Brazil_Northeast,SouthAmerica},{1,1.0527614116250215,Caribbean,SouthAmerica},{1,0.9023209053660954,Brazil_Northeast,SouthAmerica},{1,15.648825542476583,Brazil_Southeast,SouthEastAsia},{1,16.737444405449818,SouthEastAsia,Brazil_Southeast},{1,1.7236899720696957,Brazil_Northeast,CentralAmerica},{1,1.5884707957627957,Brazil_Northeast,Brazil_North},{1,1.0654704814340579,Brazil_Northeast,SouthAmerica},{1,1.3247086598752613,Brazil_Northeast,Brazil_Southeast},{1,1.3024721530008467,Brazil_Northeast,Caribbean},{1,2.1229081097234666,Brazil_Northeast,Brazil_Southeast},{1,1.6479387962592993,Brazil_Northeast,SouthAmerica},{1,1.2614498202365119,Brazil_Northeast,Brazil_Southeast},{1,1.4874197134741545,Brazil_Northeast,Brazil_North},{1,2.5163487624081897,Polynesia,Brazil_Northeast},{1,6.335339358994878,SouthEastAsia,SouthAmerica},{1,5.938897389565362,SouthAmerica,Brazil_North},{1,4.623516587839524,Brazil_North,Polynesia}} 34
30000	27.0	{{1,0.20641265795503638,Brazil_Southeast,Brazil_North},{1,1.4988117628328115,Brazil_Northeast,Brazil_North},{1,1.480937505817181,SouthAmerica,Brazil_North},{1,0.5430280157426122,Brazil_Northeast,Brazil_North},{1,1.8569356551393725,Brazil_Northeast,Brazil_Southeast},{1,1.4697076539903557,Brazil_Northeast,Brazil_Southeast},{1,1.6752208771950285,SouthAmerica,Brazil_Southeast},{1,0.6266344642488372,SouthAmerica,Caribbean},{1,0.30762555640352396,Brazil_Northeast,Caribbean},{1,0.890592625011662,SouthAmerica,Brazil_North},{1,0.4193688140338114,Brazil_North,CentralAmerica},{1,1.147209005133832,SouthAmerica,CentralAmerica},{1,0.7872630956124328,SouthAmerica,CentralAmerica},{1,14.697730678035226,SouthEastAsia,Micronesia},{1,0.6080651750824915,Caribbean,SouthAmerica},{1,1.5456049164599865,Brazil_Northeast,Brazil_North},{1,1.6211217342987274,Brazil_Northeast,Brazil_Southeast},{1,1.6642436507164857,Brazil_Northeast,Brazil_Southeast},{1,1.6946308769281226,Brazil_Northeast,SouthAmerica},{1,2.037120385409685,Brazil_Northeast,SouthAmerica},{1,1.7477190229453305,SouthAmerica,CentralAmerica},{1,2.0547246324396236,Brazil_North,SouthAmerica},{1,2.175007726396492,Brazil_Northeast,Brazil_North},{1,1.459233069473302,Brazil_Southeast,Caribbean},{1,1.654820310285308,Brazil_Northeast,Brazil_Southeast},{1,2.5404579288555906,Polynesia,Brazil_Northeast},{1,5.64956761172752,SouthEastAsia,Polynesia}} 27
35000	26.0	{{1,0.4111495773553648,Brazil_Southeast,Brazil_North},{1,1.9492310639950166,Brazil_North,Caribbean},{1,1.9155139951295055,Caribbean,Brazil_Northeast},{1,1.6864541012289447,Brazil_North,Brazil_Southeast},{1,1.5858053301240769,Brazil_North,Brazil_Southeast},{1,1.591052477439738,Brazil_North,Brazil_Southeast},{1,0.23228382535974856,SouthAmerica,Caribbean},{1,1.062016724757194,SouthAmerica,CentralAmerica},{1,0.8759587060216012,SouthAmerica,CentralAmerica},{1,0.934588827723356,SouthAmerica,CentralAmerica},{1,12.08275885952073,SouthEastAsia,Micronesia},{1,0.6527888595634074,Caribbean,SouthAmerica},{1,1.6812517478235283,SouthAmerica,Brazil_North},{1,1.9722773278437271,Brazil_North,SouthAmerica},{1,1.639138300951018,Brazil_North,SouthAmerica},{1,1.7183011584799028,Brazil_North,Brazil_Northeast},{1,1.3063638579128845,Brazil_Northeast,Brazil_Southeast},{1,1.5136441724111227,Brazil_Northeast,Caribbean},{1,2.0377642499214894,Brazil_North,Brazil_Northeast},{1,1.9236188099417832,Brazil_North,Brazil_Southeast},{1,2.3823560010111215,Brazil_North,Brazil_Northeast},{1,1.8677493549379554,Brazil_North,CentralAmerica},{1,2.0588358317556557,Brazil_North,Brazil_Southeast},{1,3.0503545340733216,Polynesia,SouthAmerica},{1,2.884506533466585,SouthAmerica,Brazil_North},{1,6.196238893471641,SouthEastAsia,Polynesia}} 26
40000	28.0	{{1,1.9343744977311086,Brazil_North,Brazil_Northeast},{1,1.500679258411223,Brazil_North,Brazil_Northeast},{1,1.938814468580596,Brazil_North,Brazil_Northeast},{1,0.4914992512342451,Brazil_North,Brazil_Southeast},{1,0.2512286920619056,Brazil_North,Brazil_Southeast},{1,1.0910906462138943,Brazil_North,Brazil_Southeast},{1,1.5251399713166853,Brazil_North,Brazil_Southeast},{1,0.7195029747598087,SouthAmerica,Caribbean},{1,0.07990463555231064,Brazil_Southeast,Caribbean},{1,1.4151353003424243,Brazil_Southeast,CentralAmerica},{1,0.9879448533971666,SouthAmerica,CentralAmerica},{1,1.050197379469087,SouthAmerica,CentralAmerica},{1,13.591991066789419,SouthEastAsia,Micronesia},{1,1.3407432026747896,Brazil_North,SouthAmerica},{1,0.7901224002994249,Brazil_Southeast,SouthAmerica},{1,0.9706428692474915,Brazil_North,SouthAmerica},{1,1.4430353122851334,Brazil_North,Brazil_Southeast},{1,1.3679170227562412,Brazil_Southeast,SouthAmerica},{1,2.3977280417336093,Brazil_North,CentralAmerica},{1,1.24203442542795,Brazil_Southeast,Caribbean},{1,1.6165632154539347,Brazil_North,Brazil_Southeast},{1,1.4477069572634715,Brazil_Southeast,SouthAmerica},{1,1.9660049848943146,Brazil_North,Brazil_Southeast},{1,1.3877453272165683,Brazil_North,Brazil_Northeast},{1,1.857495701310997,Brazil_North,Brazil_Southeast},{1,2.2130744063043317,Brazil_North,Brazil_Northeast},{1,3.249171860132227,Polynesia,Brazil_North},{1,4.025607010579192,SouthEastAsia,Polynesia}} 28
45000	28.0	{{1,0.575874171247815,Brazil_Southeast,Brazil_North},{1,1.3233305072650534,Brazil_North,Brazil_Northeast},{1,1.798000489275503,Brazil_North,Brazil_Northeast},{1,1.2797625494327687,Brazil_North,Brazil_Northeast},{1,0.4068378386972622,Brazil_North,Brazil_Southeast},{1,1.8189245405581171,Brazil_North,Brazil_Southeast},{1,1.4327281518118438,Brazil_North,Brazil_Southeast},{1,0.8871532498712957,SouthAmerica,Caribbean},{1,0.9769550032614783,SouthAmerica,CentralAmerica},{1,0.8292698146029456,SouthAmerica,CentralAmerica},{1,0.6397889662812605,SouthAmerica,CentralAmerica},{1,1.3488291832363142,Brazil_North,SouthAmerica},{1,0.5229458645720484,Caribbean,SouthAmerica},{1,1.1086372773801338,Brazil_North,SouthAmerica},{1,4.328844508995685,Micronesia,SouthEastAsia},{1,7.636056506393752,Micronesia,SouthEastAsia},{1,7.217230857057354,Micronesia,SouthEastAsia},{1,0.5643686556743465,Brazil_Southeast,Brazil_North},{1,2.1298196489190726,Brazil_North,Brazil_Southeast},{1,1.1470432175764587,Brazil_Southeast,Caribbean},{1,1.6106460182615367,Brazil_North,Brazil_Southeast},{1,1.221952363127454,Brazil_North,Brazil_Northeast},{1,1.583761612738067,Brazil_North,SouthAmerica},{1,1.660555011520636,Brazil_North,CentralAmerica},{1,1.1484157672919646,Brazil_North,SouthAmerica},{1,2.2560510541014116,Brazil_North,Brazil_Northeast},{1,2.771933737884781,Polynesia,Brazil_North},{1,3.764686047935629,Micronesia,Polynesia}} 28
