# BEAST v1.9.0pre20160930 Prerelease https://github.com/beast-dev/beast-mcmc/commit/f5e0bdd
# Generated Sun Mar 19 22:59:56 GMT 2017 [seed=28728]
# -seed 28728 -overwrite -beagle -beagle_CPU -beagle_SSE -beagle_opencl -beagle_double -beagle_scaling dynamic -beagle_async -beagle_instances 4 ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.Strict-Skyline.1500.completehistory_asymRegion.sub2.n10.xml
state	totalChangeCount	completeHistory_1
0	24.0	{{1,1.1001085870326182,Brazil_Northeast,Brazil_North},{1,1.9826256434458032,Brazil_Northeast,Brazil_North},{1,1.8768742537084415,SouthAmerica,Brazil_North},{1,1.3894654879423571,Brazil_Northeast,Brazil_Southeast},{1,1.9921270361332724,Brazil_Northeast,Brazil_Southeast},{1,1.5837008648312618,Brazil_Northeast,Brazil_Southeast},{1,0.5832515559438223,Brazil_North,Brazil_Southeast},{1,0.6519536961796519,SouthAmerica,Brazil_Southeast},{1,1.5415861441587115,Brazil_Northeast,Brazil_Southeast},{1,1.7854329574529486,SouthAmerica,Caribbean},{1,1.83967911366558,Brazil_Northeast,Caribbean},{1,1.1244724186903934,SouthAmerica,CentralAmerica},{1,13.597460709721414,SouthEastAsia,Micronesia},{1,1.9393068821802641,Brazil_Northeast,Brazil_North},{1,2.2524359054606653,Brazil_Northeast,Brazil_Southeast},{1,2.07300742895386,Brazil_Northeast,SouthAmerica},{1,1.3106826649388672,Brazil_Northeast,Brazil_Southeast},{1,1.8982948598891343,Brazil_Northeast,Caribbean},{1,1.8103408539913326,SouthAmerica,Caribbean},{1,2.1679083721204995,SouthAmerica,Brazil_North},{1,2.5341434566512313,Brazil_Northeast,SouthAmerica},{1,2.0348683749310523,Brazil_Northeast,CentralAmerica},{1,2.8555027870733327,Polynesia,Brazil_Northeast},{1,7.199922326419393,SouthEastAsia,Polynesia}} 24
5000	27.0	{{1,1.7285097356708883,Brazil_Southeast,Brazil_North},{1,1.8483559546602164,Brazil_Southeast,Brazil_North},{1,1.6399759723548863,Caribbean,Brazil_North},{1,1.031431068584995,Brazil_Southeast,Brazil_North},{1,1.514979967062112,Brazil_Southeast,Brazil_Northeast},{1,1.232185985229856,Brazil_Southeast,Brazil_Northeast},{1,1.7148824718405,Brazil_Southeast,Brazil_Northeast},{1,1.0903276888297018,Brazil_Southeast,Brazil_Northeast},{1,2.0889616158987825,Brazil_Southeast,Brazil_Northeast},{1,1.1765679252578647,Brazil_Southeast,Brazil_Northeast},{1,0.34540259056819056,Brazil_Southeast,Brazil_Northeast},{1,1.0364892423458643,SouthAmerica,CentralAmerica},{1,9.435059691777209,SouthEastAsia,Micronesia},{1,1.2070820047610278,Caribbean,SouthAmerica},{1,4.322173156665541,Polynesia,SouthEastAsia},{1,2.3719307354274215,Brazil_Southeast,Brazil_Northeast},{1,1.9567260992611448,Brazil_Southeast,CentralAmerica},{1,1.579907263259831,Caribbean,SouthAmerica},{1,1.9974634441742234,Brazil_Southeast,Caribbean},{1,1.9574533240789618,Brazil_Southeast,Brazil_North},{1,1.829641682344437,Brazil_Southeast,SouthAmerica},{1,0.8853008290934244,Brazil_Southeast,Brazil_North},{1,1.384286228518679,Brazil_Southeast,Caribbean},{1,1.815229420358024,Caribbean,Brazil_Southeast},{1,2.305536510755237,Brazil_Southeast,Caribbean},{1,2.743523252218266,Polynesia,Brazil_Southeast},{1,8.85087124176856,SouthEastAsia,Polynesia}} 27
10000	32.0	{{1,0.9618559858052179,Brazil_Southeast,SouthAmerica},{1,0.7740489714313004,SouthAmerica,Brazil_North},{1,1.983704083220161,Brazil_Southeast,SouthAmerica},{1,1.5166975642948335,SouthAmerica,Brazil_North},{1,1.272824022502156,Brazil_Southeast,Brazil_North},{1,1.666388052864617,Brazil_Southeast,Brazil_Northeast},{1,1.4899259574981745,Brazil_Southeast,Brazil_Northeast},{1,1.7796296304014936,Brazil_Southeast,Brazil_Northeast},{1,0.878359363154225,Brazil_Southeast,Brazil_Northeast},{1,1.252150845651326,Brazil_Southeast,Brazil_Northeast},{1,0.8408875689571496,Brazil_Southeast,Brazil_Northeast},{1,0.4025120953151846,Brazil_Southeast,Brazil_Northeast},{1,0.8039865455558671,Brazil_North,Brazil_Southeast},{1,1.485033440219338,Brazil_Southeast,Caribbean},{1,1.8148783981285852,Brazil_Southeast,Caribbean},{1,0.8365571319977322,SouthAmerica,CentralAmerica},{1,1.3942545924324417,Brazil_Southeast,SouthAmerica},{1,1.366896796944368,Brazil_Southeast,SouthAmerica},{1,0.7877942184143619,Brazil_Southeast,SouthAmerica},{1,4.453660229119529,Micronesia,SouthEastAsia},{1,11.523567333555746,Micronesia,CentralAmerica},{1,7.226336275793238,CentralAmerica,SouthEastAsia},{1,9.432216629819873,Micronesia,SouthEastAsia},{1,1.6069834802218153,Brazil_Southeast,SouthAmerica},{1,1.9709263210072714,Brazil_Southeast,Brazil_North},{1,1.354889353052116,Brazil_Southeast,Caribbean},{1,2.6094018499404097,Brazil_Southeast,Brazil_Northeast},{1,1.7960126539056134,Brazil_Southeast,CentralAmerica},{1,2.1712740204859475,Brazil_Southeast,Brazil_North},{1,1.7731268710866415,Brazil_Southeast,Caribbean},{1,3.0421585990344764,Polynesia,Brazil_Southeast},{1,4.636004807718815,Micronesia,Polynesia}} 32
15000	26.0	{{1,0.7928604994565591,Brazil_Southeast,Brazil_North},{1,1.9896595256812848,Brazil_Southeast,Brazil_North},{1,1.7629444626511328,Brazil_Southeast,Brazil_North},{1,0.7458049600956371,Brazil_Southeast,Brazil_North},{1,2.1616824946486033,Brazil_Southeast,Brazil_Northeast},{1,1.3694545816563293,Brazil_Southeast,Brazil_Northeast},{1,2.017207929599991,Brazil_Southeast,Brazil_Northeast},{1,1.0432195637458288,Brazil_Southeast,Brazil_Northeast},{1,1.8203396165046852,Brazil_Southeast,Brazil_Northeast},{1,1.453796908338858,Brazil_Southeast,Brazil_Northeast},{1,1.3762350971764425,Brazil_Southeast,Brazil_Northeast},{1,0.5834701230052703,Brazil_Southeast,Caribbean},{1,1.8311151922328028,Brazil_Southeast,Caribbean},{1,1.0037867543890848,SouthAmerica,CentralAmerica},{1,14.01577848387138,SouthEastAsia,Micronesia},{1,1.3574923528348728,Brazil_Southeast,SouthAmerica},{1,2.253683737183528,Brazil_Southeast,Brazil_Northeast},{1,2.154866118890986,Brazil_Southeast,SouthAmerica},{1,1.8658271252360596,Brazil_Southeast,CentralAmerica},{1,1.6162636790349227,Brazil_Southeast,SouthAmerica},{1,1.1491422539970269,Brazil_Southeast,Caribbean},{1,1.915306597731412,Brazil_Southeast,Brazil_North},{1,0.7183449795550866,Brazil_Southeast,Brazil_North},{1,1.605854859279709,Brazil_Southeast,Caribbean},{1,2.9275159166611275,Polynesia,Brazil_Southeast},{1,5.361442124133008,SouthEastAsia,Polynesia}} 26
20000	28.0	{{1,0.5869082880574723,Brazil_Southeast,Brazil_North},{1,1.4909361450442284,Brazil_Southeast,Brazil_North},{1,1.2841447600052385,SouthAmerica,Brazil_North},{1,1.7585194025959199,CentralAmerica,Brazil_Northeast},{1,1.4259181718573075,Brazil_Southeast,Brazil_Northeast},{1,1.8764664280245043,Brazil_Southeast,Brazil_Northeast},{1,0.9477166729323832,Brazil_Southeast,Brazil_Northeast},{1,2.004704966136091,Brazil_Southeast,Brazil_Northeast},{1,0.7483235150776568,Brazil_Southeast,Brazil_Northeast},{1,1.5346815649355519,Brazil_Southeast,Brazil_Northeast},{1,1.5093370984865204,CentralAmerica,Brazil_Southeast},{1,0.5546153927358995,Brazil_North,Brazil_Southeast},{1,1.584585455367839,Brazil_Southeast,Caribbean},{1,1.8248220938446313,Brazil_Southeast,Caribbean},{1,1.0275944049063925,SouthAmerica,CentralAmerica},{1,11.479349166873947,SouthEastAsia,Brazil_North},{1,10.932263001754967,Brazil_North,Micronesia},{1,1.1970613699670183,Brazil_Southeast,SouthAmerica},{1,2.35801518262012,Brazil_Southeast,Brazil_Northeast},{1,1.4996307308391719,Brazil_Southeast,Caribbean},{1,2.3086732860011097,Brazil_Southeast,CentralAmerica},{1,1.6282850383313847,Brazil_Southeast,Caribbean},{1,1.7789224316955283,Brazil_Southeast,SouthAmerica},{1,1.990946073197224,Brazil_Southeast,Brazil_North},{1,1.9723147906570555,Brazil_Southeast,Brazil_North},{1,1.624661321948317,Brazil_Southeast,SouthAmerica},{1,2.8763962350706183,Polynesia,Brazil_Southeast},{1,5.492662839222792,SouthEastAsia,Polynesia}} 28
25000	32.0	{{1,1.1120620835903694,Brazil_Southeast,Brazil_North},{1,1.844833697948448,Brazil_Southeast,Brazil_North},{1,1.6355885432267223,SouthAmerica,Brazil_North},{1,0.545584142219431,Brazil_Southeast,Brazil_North},{1,2.0450694092429655,Brazil_Southeast,Brazil_Northeast},{1,0.8533220654749536,Brazil_Southeast,Brazil_Northeast},{1,1.8553830414268908,Brazil_Southeast,Brazil_Northeast},{1,1.873721690232606,Brazil_Southeast,Brazil_Northeast},{1,1.8138590415170373,Brazil_Southeast,Brazil_Northeast},{1,1.0152171747030623,Brazil_Southeast,Brazil_Northeast},{1,0.634901415842731,Brazil_Southeast,Brazil_Northeast},{1,1.1201074983594865,SouthAmerica,Caribbean},{1,1.8785039670291115,Brazil_Southeast,Caribbean},{1,0.33258706526161186,Brazil_Southeast,Caribbean},{1,1.1507793867588931,SouthAmerica,CentralAmerica},{1,16.100764495357065,SouthEastAsia,Micronesia},{1,15.21644649315692,Micronesia,Caribbean},{1,10.535562313628917,Caribbean,SouthAmerica},{1,9.890447651666783,SouthAmerica,Micronesia},{1,5.031660130186017,SouthEastAsia,SouthAmerica},{1,4.813145022690581,SouthAmerica,SouthEastAsia},{1,2.63764895923319,Brazil_Southeast,Brazil_Northeast},{1,1.6608713485394229,Brazil_Southeast,SouthAmerica},{1,1.498393361437323,Brazil_Southeast,Brazil_North},{1,1.4808866617213958,Brazil_Southeast,Caribbean},{1,1.8996052072295626,Brazil_Southeast,CentralAmerica},{1,2.1166174698514926,Brazil_Southeast,Caribbean},{1,1.9225177065639274,Caribbean,Brazil_North},{1,1.7815835844995194,SouthAmerica,Caribbean},{1,2.04697132098505,Brazil_Southeast,SouthAmerica},{1,3.0625145611939195,Polynesia,Brazil_Southeast},{1,3.9273238344664807,SouthEastAsia,Polynesia}} 32
30000	30.0	{{1,0.5837464262999075,Brazil_Southeast,Brazil_North},{1,0.7185563494479392,Brazil_Southeast,Brazil_North},{1,1.598143553125896,Brazil_Southeast,Brazil_North},{1,1.3763408820241803,Brazil_Southeast,Brazil_North},{1,0.8889165982542763,Brazil_Southeast,Brazil_North},{1,1.8616466670826863,Brazil_Southeast,Brazil_Northeast},{1,1.3568482335659842,Brazil_Southeast,Brazil_Northeast},{1,1.7069896271455969,Brazil_Southeast,Brazil_Northeast},{1,1.3541708039218534,Brazil_Southeast,Brazil_Northeast},{1,1.4238440568356592,Brazil_Southeast,Brazil_Northeast},{1,1.6024363811880873,Brazil_Southeast,Brazil_Northeast},{1,1.1446628907717127,Brazil_Southeast,Brazil_Northeast},{1,1.3546582500292983,Brazil_Southeast,Brazil_Northeast},{1,0.8930021042207461,Brazil_Northeast,Brazil_Southeast},{1,1.7710846244750753,Brazil_Southeast,Caribbean},{1,1.873724816659497,Brazil_Southeast,Caribbean},{1,1.05339129761664,Brazil_Southeast,Caribbean},{1,1.403334614472774,Brazil_Southeast,Caribbean},{1,0.876487881188371,SouthAmerica,CentralAmerica},{1,10.539114426074418,SouthEastAsia,Micronesia},{1,1.1177229485407956,Brazil_Southeast,SouthAmerica},{1,1.6948850913974591,Brazil_Southeast,SouthAmerica},{1,1.9176458275275463,Brazil_Southeast,CentralAmerica},{1,1.6174464539402564,Brazil_Southeast,Brazil_North},{1,1.7975502923082636,Brazil_Southeast,SouthAmerica},{1,1.348083745125857,Brazil_Southeast,Brazil_North},{1,1.5575360582200732,Brazil_Southeast,Caribbean},{1,2.252366094508396,Brazil_Southeast,Brazil_Northeast},{1,2.8295821366164358,Polynesia,Brazil_Southeast},{1,4.3927158522649865,SouthEastAsia,Polynesia}} 30
35000	29.0	{{1,0.7352995249792491,Brazil_Southeast,Brazil_North},{1,1.1720379771943472,Brazil_Southeast,Brazil_North},{1,1.7096007616033482,Brazil_Southeast,Brazil_North},{1,0.37291227207630007,Brazil_Southeast,Brazil_North},{1,1.6983118247994047,Brazil_Southeast,Polynesia},{1,1.0330518434826308,Polynesia,Brazil_Northeast},{1,1.5037055659512257,Brazil_Southeast,Brazil_Northeast},{1,1.5815801838262922,Brazil_Southeast,Brazil_Northeast},{1,1.9469976174058004,Brazil_Southeast,Brazil_North},{1,1.6590424074528674,Brazil_North,Micronesia},{1,1.4807779598561315,Micronesia,Brazil_Northeast},{1,1.3390902807490432,Brazil_Southeast,Brazil_Northeast},{1,1.3583814076733176,Brazil_Southeast,Brazil_Northeast},{1,1.5030105443897184,Brazil_Southeast,Brazil_Northeast},{1,0.5379162844436021,Brazil_Southeast,Caribbean},{1,1.7948937879691333,Brazil_Southeast,Caribbean},{1,0.9406871419389345,SouthAmerica,CentralAmerica},{1,15.029496443116392,SouthEastAsia,Micronesia},{1,1.3633884915654875,Brazil_Southeast,SouthAmerica},{1,1.7674202249297595,Brazil_Southeast,Caribbean},{1,1.7226409123191984,Brazil_Southeast,SouthAmerica},{1,2.0839312715326734,Brazil_Southeast,Brazil_North},{1,2.0268296879667758,Brazil_Southeast,CentralAmerica},{1,1.3650504715220904,Brazil_Southeast,Brazil_North},{1,1.9789043039077328,Brazil_Southeast,SouthAmerica},{1,1.4548263777042942,Brazil_Southeast,Caribbean},{1,2.3258228832105767,Brazil_Southeast,Brazil_Northeast},{1,3.123374560024931,Polynesia,Brazil_Southeast},{1,4.18043721803875,SouthEastAsia,Polynesia}} 29
40000	28.0	{{1,1.042236417000515,Brazil_Southeast,Brazil_North},{1,0.8598126971410154,Brazil_Southeast,Brazil_North},{1,1.226121213053818,Brazil_Southeast,Brazil_North},{1,0.6839494171508529,Brazil_Southeast,Brazil_North},{1,0.7205464451095345,Brazil_Southeast,Brazil_Northeast},{1,0.7665282354711556,Brazil_Southeast,Brazil_Northeast},{1,1.722318139393863,Brazil_Southeast,Brazil_Northeast},{1,1.8889525340642377,Brazil_Southeast,Brazil_Northeast},{1,1.1635537688250188,Brazil_Southeast,Brazil_Northeast},{1,1.5999881582655744,Brazil_Southeast,Brazil_Northeast},{1,1.081090641988214,Brazil_Southeast,Brazil_Northeast},{1,1.8511765731657202,Brazil_Southeast,Caribbean},{1,1.806899697967313,Brazil_Southeast,Caribbean},{1,0.8064926337346388,SouthAmerica,CentralAmerica},{1,13.215595367841537,SouthEastAsia,Micronesia},{1,11.9752427925335,Micronesia,CentralAmerica},{1,10.819481414805749,CentralAmerica,Micronesia},{1,1.048295591405154,Brazil_Southeast,SouthAmerica},{1,1.7510336248163594,Brazil_Southeast,Caribbean},{1,1.6497851437650666,Brazil_Southeast,SouthAmerica},{1,1.1589141926169386,Brazil_Southeast,Brazil_North},{1,1.379897050964213,Brazil_Southeast,Caribbean},{1,1.6489774813183584,Brazil_Southeast,SouthAmerica},{1,1.9044971979279244,Brazil_Southeast,Brazil_North},{1,1.8655557790513242,Brazil_Southeast,CentralAmerica},{1,2.2786770091952357,Brazil_Southeast,Brazil_Northeast},{1,2.8573946680335967,Polynesia,Brazil_Southeast},{1,4.047300889257473,SouthEastAsia,Polynesia}} 28
45000	29.0	{{1,1.7504696636772452,Brazil_Southeast,Brazil_North},{1,0.8439390335850121,Brazil_Southeast,Brazil_North},{1,1.6274339215514395,Caribbean,Brazil_North},{1,0.9703081122889021,Brazil_Southeast,Brazil_North},{1,1.3009132348375851,Brazil_Southeast,Brazil_Northeast},{1,1.702951715074284,Brazil_Southeast,Brazil_Northeast},{1,1.4814737986737996,Brazil_Southeast,Brazil_Northeast},{1,1.947074562454103,Brazil_Southeast,Brazil_Northeast},{1,2.261136360024815,Brazil_Southeast,Brazil_Northeast},{1,1.5488924193348546,Brazil_Southeast,Brazil_Northeast},{1,0.572575262906068,Brazil_Southeast,Brazil_Northeast},{1,1.8151353123346472,Brazil_Southeast,Caribbean},{1,1.7915745443240751,Brazil_Southeast,Caribbean},{1,1.175089417666755,SouthAmerica,CentralAmerica},{1,15.855821122438034,SouthEastAsia,CentralAmerica},{1,13.377625289072192,CentralAmerica,Micronesia},{1,1.0231711894274704,Brazil_Southeast,SouthAmerica},{1,10.089574910647112,SouthEastAsia,Micronesia},{1,5.209711209040783,Micronesia,SouthEastAsia},{1,2.3488660370159673,Brazil_Southeast,CentralAmerica},{1,1.6495313663073126,Caribbean,SouthAmerica},{1,1.9462802678868432,Brazil_Southeast,Caribbean},{1,2.0322929706417745,Brazil_Southeast,Brazil_North},{1,1.4825087867263913,Brazil_Southeast,Caribbean},{1,2.2923172282482014,Brazil_Southeast,Brazil_North},{1,1.9678299697117576,Brazil_Southeast,SouthAmerica},{1,2.7242106512128434,Brazil_Southeast,Brazil_Northeast},{1,2.85517674970253,Polynesia,Brazil_Southeast},{1,4.107473851217593,SouthEastAsia,Polynesia}} 29
