# BEAST v1.9.0pre20160930 Prerelease https://github.com/beast-dev/beast-mcmc/commit/f5e0bdd
# Generated Sun Mar 19 23:16:43 GMT 2017 [seed=16724]
# -seed 16724 -overwrite -beagle -beagle_CPU -beagle_SSE -beagle_opencl -beagle_double -beagle_scaling dynamic -beagle_async -beagle_instances 4 ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.Strict-Skyline.1500.completehistory_asymRegion.sub6.n10.xml
state	totalChangeCount	completeHistory_1
0	22.0	{{1,0.5734436867787598,Brazil_Northeast,Brazil_North},{1,1.2609498494102498,SouthAmerica,Brazil_North},{1,1.22270495237944,Brazil_North,Brazil_Northeast},{1,0.6279357473491725,Brazil_Northeast,Brazil_Southeast},{1,0.6090533383970471,Brazil_Northeast,Brazil_Southeast},{1,1.0612004749624744,Brazil_Northeast,Brazil_Southeast},{1,0.3944266305599151,Brazil_North,Brazil_Southeast},{1,0.8801347181183937,SouthAmerica,Brazil_Southeast},{1,0.7506573215945347,SouthAmerica,Caribbean},{1,1.723617496618682,Brazil_Northeast,Caribbean},{1,15.553099573767604,SouthEastAsia,Micronesia},{1,1.207002574555339,Caribbean,SouthAmerica},{1,1.8506163168449867,Brazil_Northeast,SouthAmerica},{1,1.7570602203924284,Brazil_Northeast,Brazil_North},{1,2.387737551431617,Brazil_Northeast,Brazil_Southeast},{1,1.6382805210119409,Brazil_Northeast,SouthAmerica},{1,0.9045996025501399,Brazil_Northeast,Brazil_Southeast},{1,1.9636004263352789,Brazil_Northeast,Brazil_North},{1,1.3579540638639118,Brazil_Northeast,Caribbean},{1,1.8699463785406163,Brazil_Northeast,CentralAmerica},{1,2.809709662555148,Polynesia,Brazil_Northeast},{1,3.457001779183307,SouthEastAsia,Polynesia}} 22
5000	26.0	{{1,1.4681659549376453,Brazil_Northeast,Brazil_North},{1,2.0090867907820007,Brazil_Northeast,Brazil_North},{1,1.4842872795549267,SouthAmerica,Brazil_North},{1,1.2381971079977305,Brazil_North,Brazil_Northeast},{1,1.5321929486408672,Brazil_Northeast,Brazil_Southeast},{1,0.6580134459118201,Brazil_Northeast,Brazil_Southeast},{1,1.9310900174366452,Brazil_Northeast,Brazil_Southeast},{1,0.3482399198447289,Brazil_North,Brazil_Southeast},{1,0.9880503383127329,SouthAmerica,Brazil_Southeast},{1,0.802462107854559,SouthAmerica,Caribbean},{1,1.7951884234367557,Brazil_Northeast,Caribbean},{1,14.726488344395124,SouthEastAsia,Micronesia},{1,1.1765788523979257,Caribbean,SouthAmerica},{1,6.298696062871946,Polynesia,SouthEastAsia},{1,9.808801978478304,Polynesia,SouthEastAsia},{1,1.9613631298093959,Brazil_Northeast,Brazil_North},{1,1.4920503809246157,Brazil_Northeast,Caribbean},{1,1.7896655741457173,Brazil_Northeast,SouthAmerica},{1,1.0204023974207437,Brazil_Northeast,Brazil_Southeast},{1,2.0624784333498662,Brazil_Northeast,Brazil_North},{1,1.8015704570913031,Brazil_North,Brazil_Southeast},{1,1.9433074875594352,Brazil_Northeast,CentralAmerica},{1,2.2033691136233173,Brazil_Northeast,SouthAmerica},{1,2.1657228217435938,Brazil_Northeast,Brazil_North},{1,2.943433419938447,Polynesia,Brazil_Northeast},{1,14.411743151372601,SouthEastAsia,Polynesia}} 26
10000	25.0	{{1,1.423141393901275,Brazil_Northeast,Brazil_North},{1,0.7445625206946207,Brazil_Northeast,Brazil_North},{1,1.0986974388862039,SouthAmerica,Brazil_North},{1,1.2186115838211138,Brazil_North,Brazil_Northeast},{1,1.5194500872997843,Brazil_Northeast,Brazil_Southeast},{1,0.6813952400543581,Brazil_Northeast,Brazil_Southeast},{1,0.9883845487565273,Brazil_Northeast,Brazil_Southeast},{1,0.9072465030543,Brazil_North,Caribbean},{1,0.6232724443924313,Caribbean,CentralAmerica},{1,0.31213974243757164,CentralAmerica,Brazil_Southeast},{1,1.1320158309184731,SouthAmerica,Brazil_Southeast},{1,0.7821065708851196,SouthAmerica,Caribbean},{1,1.7189955535119252,Brazil_Northeast,Caribbean},{1,11.609589552198965,SouthEastAsia,Micronesia},{1,1.4599957489367095,Brazil_Northeast,SouthAmerica},{1,1.6500649500501092,Brazil_Northeast,Caribbean},{1,1.648648683649013,Brazil_Northeast,SouthAmerica},{1,0.8525305189652209,Brazil_Northeast,Brazil_Southeast},{1,2.0748926915583,Brazil_Northeast,CentralAmerica},{1,1.809704560762538,Brazil_Northeast,Brazil_Southeast},{1,2.3883468292546053,Brazil_Northeast,Brazil_North},{1,2.023724471776468,Brazil_Northeast,SouthAmerica},{1,2.0874248437259793,Brazil_Northeast,Brazil_North},{1,2.8831766333714164,Polynesia,Brazil_Northeast},{1,4.186571154968686,SouthEastAsia,Polynesia}} 25
15000	30.0	{{1,2.0498949852559027,Brazil_Southeast,Brazil_North},{1,2.170508092223463,Brazil_Southeast,Brazil_North},{1,0.5326777257459817,Brazil_Southeast,Brazil_North},{1,1.755665090676137,Brazil_Southeast,Brazil_North},{1,0.8952457903222287,Brazil_Northeast,Brazil_Southeast},{1,0.7421182845186342,Brazil_Southeast,Brazil_Northeast},{1,1.2264851982752016,Brazil_North,Brazil_Northeast},{1,1.3242006046407584,Brazil_Southeast,Brazil_Northeast},{1,0.8947529937761995,Brazil_Northeast,Brazil_Southeast},{1,1.1481811530146047,Brazil_Southeast,Caribbean},{1,1.658349509636591,Brazil_Southeast,Caribbean},{1,13.203956967644508,SouthEastAsia,Micronesia},{1,12.069595693271056,Micronesia,CentralAmerica},{1,11.19977422231869,CentralAmerica,Micronesia},{1,0.5619274959184914,Brazil_Southeast,SouthAmerica},{1,0.6298927926719186,Caribbean,SouthAmerica},{1,5.409397555016913,CentralAmerica,SouthEastAsia},{1,1.6304603546348175,Brazil_Northeast,Caribbean},{1,2.5392996243758295,Brazil_Southeast,Brazil_Northeast},{1,2.0400121007466567,Brazil_Southeast,SouthAmerica},{1,1.2006313916643756,Brazil_Southeast,SouthAmerica},{1,2.105467137692435,Brazil_Southeast,Brazil_North},{1,2.086481903749798,Brazil_Southeast,CentralAmerica},{1,1.7525122564670372,Brazil_Southeast,SouthAmerica},{1,1.6182741874590871,Brazil_Southeast,Brazil_Northeast},{1,0.9629937709224224,Brazil_Southeast,Brazil_North},{1,2.534921674326683,Brazil_Southeast,Brazil_Northeast},{1,3.0186562225096805,Polynesia,Brazil_Southeast},{1,3.7310969222870805,CentralAmerica,Polynesia},{1,9.556483024587969,SouthEastAsia,CentralAmerica}} 30
20000	27.0	{{1,1.9505031597036941,Brazil_Northeast,Brazil_Southeast},{1,0.6610884546135531,Brazil_Southeast,Brazil_North},{1,0.7595950232891295,Brazil_Northeast,Brazil_North},{1,1.0386974767650796,SouthAmerica,Brazil_North},{1,1.2405695683538138,Brazil_North,Brazil_Northeast},{1,0.3645354999554504,Brazil_Northeast,Brazil_Southeast},{1,0.5637675552108012,Brazil_Northeast,Brazil_Southeast},{1,1.02724720728586,Brazil_Northeast,Brazil_Southeast},{1,0.8850645776350485,Brazil_Northeast,Brazil_Southeast},{1,1.321225189188315,Brazil_Northeast,Brazil_North},{1,1.0141600033177975,Brazil_North,Brazil_Southeast},{1,1.1832680562333153,Brazil_North,Brazil_Southeast},{1,1.3324682889175776,SouthAmerica,Brazil_Southeast},{1,0.3273319407818098,SouthAmerica,Caribbean},{1,1.6494899429223484,Brazil_Northeast,Caribbean},{1,0.8032376515726772,Brazil_Northeast,SouthAmerica},{1,15.778503465768338,Micronesia,SouthEastAsia},{1,1.8408703200167613,Brazil_Northeast,SouthAmerica},{1,1.1337004779076723,Brazil_Northeast,Brazil_Southeast},{1,1.9328629535861972,Brazil_Northeast,Brazil_North},{1,1.2310162785975494,Brazil_Northeast,Caribbean},{1,1.8771447882967192,SouthAmerica,Brazil_North},{1,2.1363158629638437,Brazil_Northeast,SouthAmerica},{1,1.9478066564401033,Brazil_Northeast,CentralAmerica},{1,2.7631952518618443,Polynesia,Brazil_Northeast},{1,5.986520502687966,SouthEastAsia,Polynesia},{1,13.901367272676607,Micronesia,SouthEastAsia}} 27
25000	28.0	{{1,1.0771489356279236,Brazil_Northeast,Brazil_North},{1,1.8299021438461716,Brazil_Northeast,Brazil_North},{1,0.5440114892556547,Brazil_Northeast,Brazil_North},{1,1.22809847408433,Brazil_Southeast,Brazil_North},{1,1.3720810422705634,Brazil_Northeast,Brazil_North},{1,0.5901563286766457,Brazil_Southeast,Brazil_North},{1,1.0666446925954125,SouthAmerica,Brazil_North},{1,1.607272273731282,Caribbean,Brazil_Northeast},{1,1.4469411598194175,Brazil_Northeast,Brazil_Southeast},{1,1.028757427904449,Brazil_Northeast,Brazil_Southeast},{1,1.9955262665779139,Brazil_Northeast,Brazil_Southeast},{1,1.1276212658844382,SouthAmerica,Brazil_Northeast},{1,0.43590385769709394,Brazil_Northeast,Brazil_Southeast},{1,0.19226962909765355,SouthAmerica,Caribbean},{1,15.318564279808784,SouthEastAsia,Micronesia},{1,12.913366087757767,Micronesia,CentralAmerica},{1,12.409356330228068,CentralAmerica,Micronesia},{1,0.9698336868486571,Caribbean,SouthAmerica},{1,1.563326854662292,Brazil_Northeast,SouthAmerica},{1,0.8156761248893604,Brazil_Northeast,Brazil_Southeast},{1,1.0414791359105378,Brazil_Southeast,Brazil_North},{1,2.0036448572654564,Brazil_Northeast,Brazil_Southeast},{1,1.30980123009062,Brazil_Northeast,Caribbean},{1,1.9895458992304218,Brazil_Northeast,SouthAmerica},{1,2.068863967970884,Brazil_Northeast,CentralAmerica},{1,2.3316453371726276,Brazil_Northeast,Caribbean},{1,2.8368961011777243,Polynesia,Brazil_Northeast},{1,5.259935068277443,SouthEastAsia,Polynesia}} 28
30000	23.0	{{1,0.458943335977418,Brazil_Northeast,Brazil_North},{1,1.4714095418018047,SouthAmerica,Brazil_North},{1,1.217590858087061,Brazil_North,Brazil_Northeast},{1,0.4621392748141522,Brazil_Northeast,Brazil_Southeast},{1,1.0480655362743785,Brazil_Northeast,Brazil_Southeast},{1,1.808810683366959,Brazil_North,Brazil_Southeast},{1,0.7705763278076785,Brazil_North,Brazil_Southeast},{1,1.250100631172247,SouthAmerica,Brazil_Southeast},{1,0.5417480717234779,SouthAmerica,Caribbean},{1,1.7355390482019484,Brazil_Northeast,Caribbean},{1,11.874474021680161,SouthEastAsia,Brazil_North},{1,10.581237289878544,Brazil_North,Brazil_Southeast},{1,9.511178306228215,Brazil_Southeast,Micronesia},{1,1.1048761608629967,Caribbean,SouthAmerica},{1,1.2490455106240381,Brazil_Northeast,Brazil_Southeast},{1,1.7318488175289721,Brazil_Northeast,SouthAmerica},{1,1.283532179271607,Brazil_North,Brazil_Southeast},{1,1.4606253908128575,Brazil_North,CentralAmerica},{1,1.9810591248904648,Brazil_North,SouthAmerica},{1,2.2245297740980052,Brazil_Northeast,Brazil_North},{1,1.485940287755307,Brazil_Northeast,Caribbean},{1,2.7045087432828536,Polynesia,Brazil_Northeast},{1,6.480529518965737,SouthEastAsia,Polynesia}} 23
35000	31.0	{{1,1.06699655576066,Brazil_Northeast,Brazil_North},{1,1.803599245264746,Brazil_Northeast,Brazil_North},{1,0.8593148881556738,Brazil_Northeast,Brazil_North},{1,1.1894748113571478,Brazil_Northeast,Brazil_North},{1,1.2688888604800634,SouthAmerica,Brazil_North},{1,0.5229226886415959,Brazil_Northeast,Brazil_Southeast},{1,0.44791986148657714,Brazil_Northeast,Brazil_Southeast},{1,0.3746146221905,Brazil_North,Brazil_Southeast},{1,1.523621908077398,SouthAmerica,Brazil_Southeast},{1,1.100585690718953,SouthAmerica,Caribbean},{1,1.7791375646038998,Brazil_Northeast,Caribbean},{1,13.940778670303906,Polynesia,CentralAmerica},{1,12.934178117585962,CentralAmerica,Micronesia},{1,1.156675615871692,Brazil_Southeast,SouthAmerica},{1,11.743700660288262,Polynesia,CentralAmerica},{1,8.342803584666973,CentralAmerica,Caribbean},{1,6.701081480272562,Caribbean,Brazil_Southeast},{1,4.840058892437403,Brazil_Southeast,SouthEastAsia},{1,5.021260570913549,Polynesia,SouthEastAsia},{1,11.762895560003145,Polynesia,Micronesia},{1,8.33942328251117,Micronesia,SouthEastAsia},{1,1.4347130481801782,Brazil_Northeast,Caribbean},{1,1.3780864855685437,Brazil_Northeast,Brazil_Southeast},{1,1.6047813059321479,Brazil_Northeast,SouthAmerica},{1,1.4077811677690855,Brazil_Northeast,Brazil_Southeast},{1,2.3519309654296836,Brazil_North,Brazil_Northeast},{1,1.6668506798989986,Brazil_North,Brazil_Southeast},{1,2.4411026345804374,Brazil_Northeast,Brazil_North},{1,2.0868062982341495,Brazil_Northeast,SouthAmerica},{1,2.100494601646586,Brazil_Northeast,CentralAmerica},{1,2.8816113754550368,Polynesia,Brazil_Northeast}} 31
40000	25.0	{{1,1.3727124977000602,Brazil_Northeast,Brazil_North},{1,1.851989696661207,Brazil_Northeast,Brazil_North},{1,1.0816498098711205,Brazil_Northeast,Brazil_North},{1,1.373243573944837,SouthAmerica,Brazil_North},{1,1.2270729517013066,Brazil_North,Brazil_Northeast},{1,1.3488296251797132,Brazil_Northeast,Brazil_Southeast},{1,0.9344805881767752,Brazil_Northeast,Brazil_Southeast},{1,0.41139782751885257,Brazil_Northeast,Brazil_Southeast},{1,1.1755625963431777,SouthAmerica,Brazil_Southeast},{1,0.9111159207107902,Brazil_Northeast,Brazil_Southeast},{1,1.0297634414529058,Brazil_Northeast,Brazil_Southeast},{1,0.8939068720872697,SouthAmerica,Brazil_Southeast},{1,1.0737333966537763,SouthAmerica,Caribbean},{1,1.7241138157787304,Brazil_Northeast,Caribbean},{1,10.563402721472197,SouthEastAsia,Micronesia},{1,1.9790261967288088,Brazil_North,SouthAmerica},{1,2.0879288035639423,Brazil_Northeast,Brazil_North},{1,1.5101489121599772,Brazil_Northeast,CentralAmerica},{1,0.7949657946849433,Brazil_Northeast,Brazil_North},{1,0.6825905075410241,Brazil_Northeast,Brazil_Southeast},{1,1.2580522537677705,Brazil_Northeast,SouthAmerica},{1,1.3834455453435666,Caribbean,SouthAmerica},{1,1.5551056377147818,Brazil_Northeast,Caribbean},{1,2.6622693471189134,Polynesia,Brazil_Northeast},{1,4.119902380222086,SouthEastAsia,Polynesia}} 25
45000	24.0	{{1,1.2590847611622509,Brazil_Northeast,Brazil_North},{1,0.7618772322920435,Brazil_Northeast,Brazil_North},{1,1.4031665587326092,SouthAmerica,Brazil_North},{1,1.2212124085826925,Brazil_North,Brazil_Northeast},{1,1.2877106401984793,Caribbean,Brazil_Northeast},{1,1.7581602219166708,Brazil_Northeast,Brazil_Southeast},{1,1.1010087490557834,Brazil_Northeast,Brazil_Southeast},{1,0.6503999417394584,Brazil_North,Brazil_Southeast},{1,0.4493315098775337,SouthAmerica,Brazil_Southeast},{1,0.5266599991928252,SouthAmerica,Caribbean},{1,15.330987127816929,SouthEastAsia,Micronesia},{1,0.9865803841817755,Brazil_Southeast,SouthAmerica},{1,1.9951570269614711,Brazil_Northeast,CentralAmerica},{1,2.038253044614205,Brazil_North,SouthAmerica},{1,2.06433303152548,Brazil_Northeast,Brazil_North},{1,1.7248059021692914,Brazil_Northeast,SouthAmerica},{1,1.1254106987352932,Brazil_Northeast,Brazil_Southeast},{1,1.8975670210851514,Brazil_Northeast,Brazil_Southeast},{1,1.8478168823352141,Brazil_Northeast,Brazil_North},{1,1.4017692028054787,Brazil_Southeast,Caribbean},{1,1.751305269113265,Brazil_Northeast,Brazil_Southeast},{1,2.570973809723654,Polynesia,Brazil_Northeast},{1,2.5204363031125823,Polynesia,Caribbean},{1,6.0738033682544295,SouthEastAsia,Polynesia}} 24
