# BEAST v1.9.0pre20160930 Prerelease https://github.com/beast-dev/beast-mcmc/commit/f5e0bdd
# Generated Sun Mar 19 16:11:34 GMT 2017 [seed=15133]
# -seed 15133 -overwrite -beagle -beagle_CPU -beagle_SSE -beagle_opencl -beagle_double -beagle_scaling dynamic -beagle_async -beagle_instances 4 ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.Strict-Skyline.1500.completehistory_asymRegion.sub5.n10.xml
state	totalChangeCount	completeHistory_1
0	24.0	{{1,0.9759423456860845,Brazil_Southeast,Brazil_North},{1,1.56097349197095,SouthAmerica,Brazil_North},{1,1.8783435303133962,Brazil_Southeast,Brazil_North},{1,0.8790490211186093,Brazil_Southeast,Brazil_Northeast},{1,1.373793214337383,Brazil_North,Brazil_Northeast},{1,1.4688959449844023,Brazil_Southeast,Brazil_Northeast},{1,1.2931190436188897,Brazil_Southeast,Brazil_Northeast},{1,0.5184351678619854,Brazil_Southeast,Brazil_Northeast},{1,0.6992285834329446,Brazil_North,Brazil_Southeast},{1,1.5827089796204241,SouthAmerica,Brazil_Southeast},{1,14.604561235306862,SouthEastAsia,Micronesia},{1,1.2272408603346374,Caribbean,SouthAmerica},{1,1.0884504431523785,Caribbean,SouthAmerica},{1,2.7065829540491078,Brazil_Southeast,Brazil_Northeast},{1,1.4082960885416604,SouthAmerica,CentralAmerica},{1,2.080273796763665,Brazil_Southeast,SouthAmerica},{1,2.0694005210541433,Brazil_Southeast,CentralAmerica},{1,1.549676899615699,SouthAmerica,Caribbean},{1,2.024422279692742,SouthAmerica,Brazil_North},{1,2.138751179443225,Brazil_Southeast,SouthAmerica},{1,2.2556329317872903,Brazil_Southeast,Brazil_North},{1,1.9600078521975774,Brazil_Southeast,Caribbean},{1,3.1040819432637776,Polynesia,Brazil_Southeast},{1,4.901366155783776,SouthEastAsia,Polynesia}} 24
5000	26.0	{{1,1.6970911103538098,Brazil_Southeast,Brazil_North},{1,1.818604546811952,SouthAmerica,Brazil_North},{1,1.6788269903647004,Brazil_Southeast,Brazil_North},{1,1.1511261598388967,Brazil_Southeast,Brazil_North},{1,1.9136596817268805,Brazil_Southeast,Brazil_Northeast},{1,1.2834613932174228,Brazil_North,Brazil_Northeast},{1,1.5249215704942638,Brazil_Southeast,Brazil_Northeast},{1,2.22205999428498,Brazil_Southeast,Brazil_Northeast},{1,0.9858556857039324,SouthAmerica,Brazil_Northeast},{1,1.1135895150462203,SouthAmerica,Brazil_North},{1,0.7067241960443196,Brazil_North,Brazil_Southeast},{1,0.8934980768103392,SouthAmerica,CentralAmerica},{1,0.8224602483747804,SouthAmerica,CentralAmerica},{1,10.89853728190647,SouthEastAsia,Micronesia},{1,1.3550039201503739,Caribbean,SouthAmerica},{1,1.2323370315453954,Caribbean,SouthAmerica},{1,2.253258072609312,Brazil_Southeast,Brazil_Northeast},{1,2.0657747378833364,SouthAmerica,Brazil_North},{1,1.7957966648330967,SouthAmerica,Caribbean},{1,2.6457753744527186,Brazil_Southeast,SouthAmerica},{1,1.7644184794793116,Brazil_Southeast,CentralAmerica},{1,1.209313975374172,Brazil_Southeast,Brazil_North},{1,2.0993094506995833,Brazil_Southeast,SouthAmerica},{1,2.2959770948268448,Brazil_Southeast,Caribbean},{1,3.012020191893204,Polynesia,Brazil_Southeast},{1,4.325905633461732,SouthEastAsia,Polynesia}} 26
10000	25.0	{{1,1.510963271108121,SouthAmerica,Brazil_North},{1,0.9137019861168962,Brazil_Southeast,Brazil_North},{1,1.356094428309892,Brazil_North,Brazil_Northeast},{1,1.240010487961861,Brazil_Southeast,Brazil_Northeast},{1,0.8582902007734203,Brazil_Southeast,Brazil_Northeast},{1,0.4927789669921858,Brazil_North,Brazil_Southeast},{1,1.0600419104535055,SouthAmerica,Brazil_Southeast},{1,2.5969578433563205,Brazil_North,Brazil_Southeast},{1,1.7759861274148552,Brazil_Northeast,Brazil_Southeast},{1,1.573489356753633,SouthAmerica,CentralAmerica},{1,0.9646571628433571,SouthAmerica,CentralAmerica},{1,14.306522139134382,SouthEastAsia,Micronesia},{1,1.312675774941823,Caribbean,SouthAmerica},{1,0.8131377413049834,Caribbean,SouthAmerica},{1,2.501330537336641,Brazil_North,Brazil_Northeast},{1,1.617467765207759,Brazil_Northeast,Caribbean},{1,2.534737995448029,Brazil_North,Brazil_Northeast},{1,2.164616852068815,Brazil_Southeast,SouthAmerica},{1,2.6026813709098686,Brazil_North,Brazil_Southeast},{1,2.135281731696696,Brazil_Southeast,CentralAmerica},{1,2.660309481301328,Brazil_North,Brazil_Southeast},{1,1.3916206186424018,SouthAmerica,Caribbean},{1,2.42594950889825,Brazil_North,SouthAmerica},{1,2.9274001214202823,Polynesia,Brazil_North},{1,4.886383742509582,SouthEastAsia,Polynesia}} 25
15000	27.0	{{1,2.1578228526428456,Brazil_Southeast,Brazil_North},{1,1.6732621846405304,SouthAmerica,Brazil_North},{1,1.5328771024618466,Brazil_Southeast,Brazil_North},{1,0.9937857540213694,Brazil_Southeast,Brazil_North},{1,1.3591232192939473,Brazil_Southeast,Brazil_Northeast},{1,1.5596410768585411,Brazil_North,Brazil_Northeast},{1,1.3967427133828827,Brazil_Southeast,Brazil_Northeast},{1,2.059827387709669,Brazil_Southeast,Brazil_Northeast},{1,1.4854458562437702,Brazil_Southeast,Brazil_Northeast},{1,1.388190862556431,Brazil_North,Brazil_Southeast},{1,0.37679644232932274,SouthAmerica,Caribbean},{1,1.267797198410546,SouthAmerica,CentralAmerica},{1,1.3058611642309947,SouthAmerica,CentralAmerica},{1,13.357815539277828,SouthEastAsia,Micronesia},{1,0.8947706464147152,Caribbean,SouthAmerica},{1,2.2546087753557265,Brazil_Southeast,Brazil_Northeast},{1,0.9111831539092411,Brazil_Southeast,Brazil_North},{1,2.047866529634803,Brazil_Southeast,SouthAmerica},{1,1.292647351580749,Caribbean,SouthAmerica},{1,2.3737353313271186,Brazil_Southeast,Caribbean},{1,1.7901997109215284,SouthAmerica,Caribbean},{1,2.185820603397685,Brazil_North,SouthAmerica},{1,2.489564316375732,Brazil_Southeast,Brazil_North},{1,2.1201181312136965,Brazil_Southeast,SouthAmerica},{1,2.1078916186641106,SouthAmerica,CentralAmerica},{1,2.9253553723098866,Polynesia,Brazil_Southeast},{1,4.349141926930931,SouthEastAsia,Polynesia}} 27
20000	28.0	{{1,2.0185917038849657,Brazil_Southeast,Brazil_North},{1,1.3267944782187966,Brazil_Southeast,Brazil_North},{1,0.6695480180695708,Brazil_Southeast,Brazil_North},{1,1.0441511201438956,Brazil_Southeast,Brazil_North},{1,1.1882059098702964,Brazil_Southeast,Brazil_Northeast},{1,1.2869800593702962,Brazil_North,Brazil_Northeast},{1,1.0109583163072282,Brazil_Southeast,Brazil_Northeast},{1,1.2661414436437999,Caribbean,Brazil_Northeast},{1,1.8246724785790278,Brazil_Southeast,Brazil_North},{1,0.2695928486402914,Brazil_North,Brazil_Northeast},{1,1.066552354611332,SouthAmerica,Caribbean},{1,0.9449232705912334,SouthAmerica,CentralAmerica},{1,0.9136232445241982,SouthAmerica,CentralAmerica},{1,1.5808625979051885,Brazil_Southeast,SouthAmerica},{1,1.1328647963963734,Brazil_Southeast,SouthAmerica},{1,14.952561625966371,Micronesia,SouthEastAsia},{1,1.312380503945416,Caribbean,SouthAmerica},{1,2.32123342259722,Brazil_Southeast,Caribbean},{1,1.1971684246055334,Brazil_Southeast,Brazil_North},{1,1.1929211569848146,Brazil_Southeast,SouthAmerica},{1,1.9264838452978756,Brazil_Southeast,Caribbean},{1,2.1508790807826155,Brazil_Southeast,Brazil_North},{1,1.756359949387833,Brazil_Southeast,CentralAmerica},{1,1.8842890245753445,Brazil_Southeast,SouthAmerica},{1,2.6257483672244937,Brazil_Southeast,Brazil_Northeast},{1,3.073658739035087,Polynesia,Brazil_Southeast},{1,6.425016025220205,SouthEastAsia,Polynesia},{1,15.190110902272572,Micronesia,SouthEastAsia}} 28
25000	33.0	{{1,1.1231085011772108,Brazil_Southeast,Brazil_North},{1,1.7575333110879598,Brazil_Southeast,Brazil_North},{1,1.506979926204032,Brazil_Southeast,Brazil_North},{1,0.5685718840091833,Brazil_Southeast,Brazil_North},{1,1.4584426869719145,Brazil_Southeast,Brazil_Northeast},{1,1.2966076407506535,Brazil_North,Brazil_Northeast},{1,0.7938490209203106,Brazil_Southeast,Brazil_Northeast},{1,1.6849767112143856,Brazil_Southeast,SouthAmerica},{1,1.2864942283807852,SouthAmerica,Brazil_Northeast},{1,1.4328651403693384,Brazil_Southeast,Brazil_Northeast},{1,0.9991104456023208,SouthAmerica,CentralAmerica},{1,1.3312883683745815,SouthAmerica,CentralAmerica},{1,17.103560442304964,SouthEastAsia,Micronesia},{1,14.701677595079941,Micronesia,Brazil_Northeast},{1,10.621464421153476,Brazil_Northeast,Micronesia},{1,1.130303110967279,Brazil_Southeast,SouthAmerica},{1,0.9336936466248493,Caribbean,SouthAmerica},{1,1.8994390100692413,Brazil_Southeast,SouthAmerica},{1,0.9918409118504043,Caribbean,SouthAmerica},{1,10.885244392420237,Brazil_Northeast,SouthEastAsia},{1,2.703900915851241,Brazil_Southeast,Brazil_Northeast},{1,1.3344918154156653,Brazil_Southeast,Brazil_North},{1,2.1164505189067166,Brazil_Southeast,SouthAmerica},{1,2.1030338563090023,Brazil_Southeast,Caribbean},{1,1.3004328272404322,Brazil_Southeast,Caribbean},{1,1.1662269096169666,Brazil_Southeast,SouthAmerica},{1,2.2351710426289086,Brazil_Southeast,Brazil_North},{1,2.0069923986446825,Brazil_Southeast,CentralAmerica},{1,3.126902576378591,Polynesia,Brazil_Southeast},{1,6.040270019500186,SouthEastAsia,Polynesia},{1,13.40045642051271,Brazil_Northeast,CentralAmerica},{1,9.244718225161943,CentralAmerica,SouthEastAsia},{1,14.23588665978583,SouthEastAsia,Brazil_Northeast}} 33
30000	25.0	{{1,1.8781534882750743,Brazil_Southeast,Brazil_North},{1,1.6593759452123886,Brazil_Southeast,Brazil_North},{1,1.000751653829781,Brazil_Southeast,Brazil_North},{1,0.6189095173566782,Brazil_Southeast,Brazil_North},{1,0.8040873458419349,Brazil_Southeast,Brazil_Northeast},{1,1.3825547886498637,Brazil_North,Brazil_Northeast},{1,0.9723969172427628,Brazil_Southeast,Brazil_Northeast},{1,2.0264670929046926,Brazil_Southeast,Brazil_Northeast},{1,0.8516268550027606,Brazil_Southeast,Brazil_Northeast},{1,1.1965409051624663,SouthAmerica,CentralAmerica},{1,1.1181932103757568,SouthAmerica,CentralAmerica},{1,11.55585565389877,SouthEastAsia,Micronesia},{1,1.3625424569029416,Brazil_Southeast,SouthAmerica},{1,1.8307015515896774,Brazil_Southeast,SouthAmerica},{1,2.1140723589737656,Brazil_Southeast,CentralAmerica},{1,2.006643786595033,Brazil_Southeast,Caribbean},{1,1.5071215187353582,Brazil_Southeast,SouthAmerica},{1,2.2465755152539453,Brazil_Southeast,Brazil_North},{1,1.2244116218365553,Caribbean,SouthAmerica},{1,2.2894405935499993,Brazil_Southeast,Caribbean},{1,1.9501265577119473,Brazil_Southeast,SouthAmerica},{1,0.9062584184904875,Brazil_Southeast,Brazil_North},{1,2.722234749000596,Brazil_Southeast,Brazil_Northeast},{1,2.9598822877761997,Polynesia,Brazil_Southeast},{1,6.838036937939747,SouthEastAsia,Polynesia}} 25
35000	27.0	{{1,1.3602527829909399,Brazil_Southeast,Brazil_North},{1,1.9554353188935643,SouthAmerica,Brazil_North},{1,1.9913029396787714,Brazil_Southeast,Brazil_North},{1,0.673885293842064,Brazil_Southeast,Brazil_North},{1,0.4390039921927873,Brazil_Southeast,Brazil_Northeast},{1,1.291153938433324,Brazil_North,Brazil_Northeast},{1,1.4919922482388317,Brazil_Southeast,Brazil_Northeast},{1,2.1098713585771125,Brazil_Southeast,SouthAmerica},{1,2.083320250085427,SouthAmerica,Brazil_Northeast},{1,1.4908783464730826,Brazil_Southeast,Brazil_Northeast},{1,1.9947535050062053,SouthAmerica,Brazil_Southeast},{1,1.2394276354258225,Caribbean,SouthAmerica},{1,0.9514786988536392,Caribbean,SouthAmerica},{1,1.3602152987572689,CentralAmerica,SouthAmerica},{1,1.3967932391484204,CentralAmerica,SouthAmerica},{1,1.8973010937072519,Brazil_Southeast,CentralAmerica},{1,1.897187148554357,Brazil_Southeast,Caribbean},{1,0.9154699145307554,Brazil_Southeast,Brazil_North},{1,1.8175248594235187,Brazil_Southeast,CentralAmerica},{1,1.8229222037339134,SouthAmerica,Caribbean},{1,2.230367993856241,Brazil_Southeast,SouthAmerica},{1,2.0992824866413686,Brazil_Southeast,Brazil_North},{1,2.4447862720376228,Brazil_Southeast,Brazil_Northeast},{1,3.0655031275928786,Polynesia,Brazil_Southeast},{1,4.598429735855344,SouthEastAsia,Polynesia},{1,15.95995316262306,Micronesia,Caribbean},{1,15.887203355990588,Caribbean,SouthEastAsia}} 27
40000	29.0	{{1,0.6064377206968636,Brazil_Southeast,Brazil_North},{1,1.7369046198885927,SouthAmerica,Brazil_North},{1,1.6024122481667478,Brazil_Southeast,Brazil_North},{1,1.0911781932569493,Brazil_Southeast,Brazil_Northeast},{1,1.30259960146058,Brazil_North,Brazil_Northeast},{1,1.6593859486004146,Brazil_Southeast,Brazil_Northeast},{1,1.2230026968832608,Brazil_Southeast,Brazil_Northeast},{1,0.2620577400234909,Brazil_Southeast,Brazil_Northeast},{1,0.6616913307658814,Brazil_North,Brazil_Southeast},{1,1.2392718610814093,SouthAmerica,Brazil_Southeast},{1,0.9426564121738708,SouthAmerica,CentralAmerica},{1,0.8731813997890387,Caribbean,SouthAmerica},{1,0.9023474247472401,Brazil_Southeast,SouthAmerica},{1,5.312944647482793,Micronesia,SouthEastAsia},{1,11.092011864564142,Micronesia,SouthEastAsia},{1,8.96394169150726,Micronesia,SouthEastAsia},{1,1.8923343075991252,SouthAmerica,Brazil_North},{1,1.6528461809425092,SouthAmerica,Caribbean},{1,2.4537714388099516,Brazil_Southeast,SouthAmerica},{1,1.7960328594949715,Brazil_Southeast,CentralAmerica},{1,1.3179122149105953,Brazil_Southeast,Caribbean},{1,0.844349945564222,CentralAmerica,SouthAmerica},{1,1.2457883651468584,SouthAmerica,CentralAmerica},{1,1.7781890401270657,Brazil_Southeast,SouthAmerica},{1,2.501498214538089,Brazil_Southeast,Brazil_Northeast},{1,2.1343614572791414,Brazil_Northeast,Brazil_North},{1,2.4596855808087046,Brazil_Southeast,Brazil_Northeast},{1,2.773943230067873,Polynesia,Brazil_Southeast},{1,4.27181071506177,Micronesia,Polynesia}} 29
45000	26.0	{{1,2.2712271619752804,Brazil_Southeast,Brazil_North},{1,1.7147463451129321,Brazil_Southeast,Brazil_North},{1,1.2038455183278198,Brazil_Southeast,Brazil_Northeast},{1,1.0827742562723652,Brazil_Northeast,Brazil_North},{1,1.3381075033863699,Brazil_Southeast,Brazil_Northeast},{1,1.2831104318863582,Brazil_North,Brazil_Northeast},{1,1.6310801700699888,Brazil_Southeast,Brazil_Northeast},{1,2.1434712479794946,Brazil_Southeast,Brazil_Northeast},{1,0.824652082187078,Brazil_North,Brazil_Northeast},{1,11.041067288087563,SouthEastAsia,Micronesia},{1,1.556802558223294,Brazil_Southeast,SouthAmerica},{1,1.1048931130377007,Caribbean,SouthAmerica},{1,1.7170340908242994,Brazil_Southeast,SouthAmerica},{1,1.1447923232946786,Caribbean,SouthAmerica},{1,2.0081303103802637,Brazil_Southeast,CentralAmerica},{1,2.077914171075641,Brazil_Southeast,Brazil_North},{1,1.699700217588348,Brazil_Southeast,Caribbean},{1,1.171118684696562,Brazil_Southeast,SouthAmerica},{1,2.027194317957295,Brazil_Southeast,Brazil_North},{1,1.585340159888614,SouthAmerica,CentralAmerica},{1,2.129768677928894,Brazil_Southeast,SouthAmerica},{1,1.7961004589411407,Brazil_Southeast,Caribbean},{1,1.474851184612388,Brazil_Southeast,Brazil_North},{1,2.388905558142541,Brazil_Southeast,Brazil_Northeast},{1,2.8661801168987147,Polynesia,Brazil_Southeast},{1,5.829929230541627,SouthEastAsia,Polynesia}} 26
