# BEAST v1.8.4
# Generated Thu Apr 27 11:19:10 BST 2017 [seed=1493288348469]
# ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.UCLN-Skyline.1500.completehistory_asymRegion.sub2.n10.xml
state	totalChangeCount	completeHistory_1
0	25.0	{{1,1.235516164912341,Brazil_Northeast,Brazil_North},{1,0.9182603464283567,Brazil_Northeast,Brazil_North},{1,1.3188002723062695,SouthAmerica,Brazil_North},{1,0.8376903093917196,Brazil_North,Brazil_Northeast},{1,1.498493465119234,Brazil_Northeast,Brazil_Southeast},{1,1.0957200510198482,Brazil_North,Brazil_Southeast},{1,1.6123986120625027,Brazil_Northeast,Brazil_Southeast},{1,0.9781761811389891,Brazil_North,Brazil_Southeast},{1,0.6231349756620206,Brazil_North,Brazil_Southeast},{1,0.8461661994675012,Caribbean,Brazil_Southeast},{1,0.6735197475589076,Brazil_North,Caribbean},{1,1.8199613361542597,Brazil_Northeast,Caribbean},{1,0.9232403314928486,SouthAmerica,CentralAmerica},{1,12.243704902377424,SouthEastAsia,Brazil_Southeast},{1,10.811084956418284,Brazil_Southeast,Micronesia},{1,1.6113515062615473,Brazil_North,CentralAmerica},{1,1.3362504437921223,SouthAmerica,Caribbean},{1,1.7310142014616612,Brazil_North,SouthAmerica},{1,2.435070230478174,Brazil_Northeast,Brazil_North},{1,2.020035285524042,Brazil_Northeast,Caribbean},{1,1.5930436412611537,Brazil_Northeast,SouthAmerica},{1,1.3816649771986729,Brazil_Northeast,Brazil_Southeast},{1,1.7264343278798695,Brazil_Northeast,Brazil_Southeast},{1,2.9989934755694834,Polynesia,Brazil_Northeast},{1,6.162636395115836,SouthEastAsia,Polynesia}} 25
5000	31.0	{{1,1.8714111315141047,Brazil_Southeast,Caribbean},{1,1.6629126994686074,Caribbean,Brazil_North},{1,1.599369021504784,Brazil_Southeast,Brazil_North},{1,1.2833932778468409,Caribbean,Brazil_North},{1,0.7389358868515439,Brazil_Southeast,Brazil_North},{1,0.7223263509333211,Brazil_Southeast,Brazil_Northeast},{1,0.96217474551751,Brazil_Southeast,Brazil_Northeast},{1,1.550551847341636,Brazil_Southeast,Brazil_Northeast},{1,1.5501282485161494,Brazil_Southeast,Brazil_Northeast},{1,1.4763604866393893,Brazil_Southeast,Brazil_Northeast},{1,0.7787008925899384,Brazil_Southeast,Brazil_Northeast},{1,0.6327307871604082,Brazil_Southeast,Brazil_Northeast},{1,1.8586980740931929,Brazil_Southeast,Caribbean},{1,1.046471114008854,SouthAmerica,CentralAmerica},{1,1.208103038529491,Caribbean,SouthAmerica},{1,1.1316315497489182,Caribbean,SouthAmerica},{1,0.9725584407777008,Caribbean,SouthAmerica},{1,13.01034232147136,Micronesia,SouthAmerica},{1,7.992935215252516,SouthAmerica,SouthEastAsia},{1,7.6175061153104595,SouthEastAsia,Brazil_North},{1,5.664813115488619,Brazil_North,SouthEastAsia},{1,1.7363041659245306,Brazil_Southeast,CentralAmerica},{1,1.9752288861903111,Brazil_Southeast,Caribbean},{1,2.1384911895267678,Brazil_Southeast,Brazil_North},{1,2.2793244037499587,Brazil_Southeast,Brazil_Northeast},{1,1.6462431850409773,Brazil_Southeast,Brazil_North},{1,1.5415936686823286,Brazil_Southeast,Caribbean},{1,1.76760871417016,Brazil_Southeast,SouthAmerica},{1,2.8041921683036066,Polynesia,Brazil_Southeast},{1,6.474128039899145,SouthEastAsia,Polynesia},{1,13.73257391478208,Micronesia,SouthEastAsia}} 31
10000	30.0	{{1,1.8889160055985372,Brazil_Southeast,Brazil_North},{1,1.690740090625929,Brazil_Southeast,Brazil_North},{1,1.3948288339136856,Brazil_Southeast,Brazil_North},{1,0.6668340253077154,Brazil_Southeast,Brazil_North},{1,0.8072439326752698,Brazil_Southeast,Brazil_Northeast},{1,1.0165924475383137,Brazil_Southeast,Brazil_Northeast},{1,1.6600825371809191,Brazil_Southeast,Brazil_Northeast},{1,1.0692787204428909,Brazil_Southeast,Brazil_Northeast},{1,0.9629603755527252,Brazil_Southeast,Brazil_Northeast},{1,1.0704099125150557,Brazil_Southeast,Brazil_Northeast},{1,1.180938818011998,Caribbean,Brazil_Southeast},{1,1.1762108669576268,Brazil_Southeast,Caribbean},{1,1.8158425298013514,Brazil_Southeast,Caribbean},{1,0.8303959835704712,SouthAmerica,CentralAmerica},{1,11.363998062591573,Brazil_North,Micronesia},{1,1.8385094728491802,Brazil_Southeast,Brazil_Northeast},{1,1.5329291013064936,Brazil_Northeast,SouthAmerica},{1,6.659424674647901,Brazil_North,SouthEastAsia},{1,2.0703758626855286,Brazil_Southeast,Brazil_Northeast},{1,1.831142751761272,Brazil_Southeast,Brazil_North},{1,1.4093160722963476,Brazil_Southeast,Caribbean},{1,1.4690456002043926,Brazil_Southeast,SouthAmerica},{1,1.828921483289401,Brazil_Southeast,SouthAmerica},{1,1.626179794525064,Brazil_Northeast,Caribbean},{1,2.1714073197159407,Brazil_Southeast,Brazil_Northeast},{1,1.2683506272577314,Brazil_Southeast,Brazil_North},{1,2.1087885243979296,Brazil_Southeast,CentralAmerica},{1,3.1086977030047063,Polynesia,Brazil_Southeast},{1,5.610322364086628,SouthEastAsia,Polynesia},{1,11.983423847889595,Brazil_North,SouthEastAsia}} 30
15000	29.0	{{1,1.3057118527935214,Brazil_Southeast,Brazil_North},{1,1.6563181255189137,Brazil_Southeast,Brazil_North},{1,1.1977225968861793,Brazil_Southeast,Brazil_North},{1,0.739186751497398,Brazil_Southeast,Brazil_North},{1,0.7372770017690583,Brazil_Southeast,Brazil_Northeast},{1,1.3015209369909047,Brazil_Southeast,Brazil_Northeast},{1,1.6562551758585764,Brazil_Southeast,Brazil_Northeast},{1,1.7520006360966351,Brazil_Southeast,Brazil_Northeast},{1,1.3799312731711872,Brazil_Southeast,Brazil_Northeast},{1,0.3781819026158766,Brazil_Southeast,Caribbean},{1,1.8038999611072586,Brazil_Southeast,Caribbean},{1,1.0622811365243223,SouthAmerica,Brazil_Southeast},{1,0.7813276894202925,Brazil_Southeast,CentralAmerica},{1,1.2040403172533527,Brazil_Southeast,SouthAmerica},{1,7.4600712221164365,CentralAmerica,SouthEastAsia},{1,0.9510181810144476,Brazil_Southeast,Brazil_North},{1,1.748013635128624,Brazil_Southeast,Brazil_Northeast},{1,1.6739539889796353,Brazil_Southeast,SouthAmerica},{1,1.7893450571123677,Brazil_Southeast,Brazil_North},{1,1.3383409897845997,Brazil_Southeast,SouthAmerica},{1,1.1112981279966094,Brazil_Southeast,Caribbean},{1,1.4245316805563204,Brazil_Southeast,CentralAmerica},{1,2.168187361699891,Brazil_Southeast,Brazil_Northeast},{1,1.570014131335705,Brazil_Southeast,Caribbean},{1,2.620927694531362,Polynesia,Brazil_Southeast},{1,4.230796772720172,SouthEastAsia,Polynesia},{1,10.624452959308757,CentralAmerica,Brazil_Northeast},{1,9.873362465696854,Brazil_Northeast,SouthEastAsia},{1,10.947620300867895,Micronesia,CentralAmerica}} 29
20000	28.0	{{1,1.577836997362181,Brazil_Southeast,Brazil_North},{1,1.4356662292718794,Brazil_Southeast,Brazil_North},{1,1.7931701815857128,Brazil_Southeast,Brazil_North},{1,1.633496847297757,Brazil_Southeast,Brazil_North},{1,1.589081939695896,Brazil_Southeast,Brazil_North},{1,1.4124283356910348,Brazil_Southeast,Brazil_North},{1,0.36974559407898966,Brazil_Southeast,Brazil_North},{1,1.700045511477595,Brazil_Southeast,Brazil_Northeast},{1,0.9233732155193576,Brazil_Southeast,Brazil_Northeast},{1,1.455246333649302,Brazil_Southeast,Brazil_Northeast},{1,1.3551540491671656,Brazil_Southeast,Brazil_Northeast},{1,2.1140537721824186,Brazil_Southeast,Brazil_Northeast},{1,0.8926124560237367,Brazil_Southeast,Brazil_Northeast},{1,0.9285816474696498,Brazil_Southeast,Brazil_Northeast},{1,1.0714444680729298,Brazil_Southeast,Caribbean},{1,1.8253395553763758,Brazil_Southeast,Caribbean},{1,1.1960586940975506,SouthAmerica,CentralAmerica},{1,12.836125396479252,SouthEastAsia,Micronesia},{1,1.3944519539748308,Brazil_Southeast,SouthAmerica},{1,2.262597522189133,Brazil_Southeast,Brazil_Northeast},{1,1.501981736794808,Brazil_Southeast,Caribbean},{1,0.9838441174667559,Brazil_Southeast,Brazil_North},{1,1.8512269066071028,Brazil_Southeast,SouthAmerica},{1,1.61585088325684,Brazil_Southeast,Caribbean},{1,1.4004841560688868,Brazil_Southeast,SouthAmerica},{1,1.5575800919136653,Brazil_Southeast,CentralAmerica},{1,3.044084604813089,Polynesia,Brazil_Southeast},{1,4.382159697758076,SouthEastAsia,Polynesia}} 28
25000	31.0	{{1,1.390229258199848,Brazil_Southeast,Brazil_North},{1,1.4169810975381643,Brazil_Southeast,Brazil_North},{1,1.8227102948831804,Brazil_Southeast,Brazil_North},{1,0.5361431623476708,Brazil_Southeast,Brazil_North},{1,2.3265867502973454,Brazil_Southeast,Brazil_Northeast},{1,1.2141898282070591,Brazil_Southeast,Brazil_Northeast},{1,1.7737054801196939,Brazil_Southeast,Brazil_Northeast},{1,1.4686146730175056,Brazil_Southeast,Brazil_Northeast},{1,1.2122329176926652,Brazil_Southeast,Brazil_Northeast},{1,0.7264254799182744,Brazil_Southeast,Brazil_Northeast},{1,1.0094696645481398,Brazil_Southeast,Brazil_Northeast},{1,2.0854345783427655,Brazil_Southeast,Caribbean},{1,1.9172725944780984,Brazil_Southeast,Caribbean},{1,0.9325556227781184,SouthAmerica,CentralAmerica},{1,1.0233577723550025,Brazil_Southeast,SouthAmerica},{1,5.848155656989233,SouthAmerica,SouthEastAsia},{1,13.863657844634005,Micronesia,Caribbean},{1,13.830871493872383,Caribbean,Brazil_North},{1,5.722079071173189,Brazil_North,SouthEastAsia},{1,10.25121788361586,SouthAmerica,SouthEastAsia},{1,1.9158912211355534,Brazil_Southeast,Caribbean},{1,1.8674397562110876,Brazil_Southeast,SouthAmerica},{1,1.9928951478950245,Brazil_Southeast,Brazil_North},{1,2.181419171149944,Brazil_Southeast,CentralAmerica},{1,1.98434883124752,Brazil_Southeast,Brazil_Northeast},{1,1.7504533171963257,Brazil_Southeast,SouthAmerica},{1,1.4596348368850014,Brazil_Southeast,Caribbean},{1,1.512241176107307,Brazil_Southeast,Brazil_North},{1,3.08408908208512,Polynesia,Brazil_Southeast},{1,5.837644332200941,SouthAmerica,Polynesia},{1,12.1982816750457,Micronesia,SouthAmerica}} 31
30000	30.0	{{1,1.4913701666152301,Brazil_Southeast,Brazil_North},{1,1.5753206746183426,Brazil_Southeast,Brazil_North},{1,1.521696556538815,Brazil_Southeast,Brazil_North},{1,1.2675966120082602,Brazil_Southeast,Brazil_North},{1,1.5276096254074987,Brazil_Southeast,Brazil_North},{1,1.203124405543212,Brazil_Southeast,Brazil_North},{1,0.7822437849544679,Brazil_Southeast,Brazil_North},{1,0.728700116451737,Brazil_Southeast,Brazil_Northeast},{1,1.490312823537964,Brazil_Southeast,Brazil_Northeast},{1,1.7205680709841331,Brazil_Southeast,Brazil_Northeast},{1,1.0624501855089274,Brazil_Southeast,Brazil_Northeast},{1,2.147108359550149,Brazil_Southeast,Brazil_Northeast},{1,1.1394055091310393,Brazil_Southeast,Brazil_Northeast},{1,0.9080508240695018,Brazil_Southeast,Brazil_Northeast},{1,1.355044120249421,Brazil_Southeast,Caribbean},{1,1.9202334244679204,Brazil_Southeast,Caribbean},{1,0.9171270787457452,SouthAmerica,CentralAmerica},{1,1.2951784179412953,Brazil_Southeast,SouthAmerica},{1,6.718176791373106,Micronesia,Caribbean},{1,6.546764862846499,Caribbean,SouthEastAsia},{1,1.7767579026040048,Brazil_Southeast,SouthAmerica},{1,0.7650883322660907,Brazil_Southeast,Brazil_North},{1,2.4129151241394364,Brazil_Southeast,Brazil_Northeast},{1,2.1224815029635726,Brazil_Southeast,CentralAmerica},{1,1.7661657941869757,Brazil_Southeast,Caribbean},{1,1.8905742632985605,Brazil_Southeast,SouthAmerica},{1,1.351329911849067,Brazil_Southeast,Caribbean},{1,2.833674662161436,Polynesia,Brazil_Southeast},{1,6.996988734954581,SouthEastAsia,Polynesia},{1,13.80930151118093,Micronesia,SouthEastAsia}} 30
35000	27.0	{{1,1.2855910738661072,Brazil_Southeast,Brazil_North},{1,1.6908331904102778,Brazil_Southeast,Brazil_North},{1,1.3976884282444395,Brazil_Southeast,Brazil_North},{1,0.9709214514156562,Brazil_Southeast,Brazil_North},{1,1.8754638804533446,Brazil_Southeast,Brazil_Northeast},{1,1.290714160194922,Brazil_Southeast,Brazil_Northeast},{1,1.411446377807859,Brazil_Southeast,Brazil_Northeast},{1,1.0532554167053156,Brazil_Southeast,Brazil_Northeast},{1,2.032824951061578,Brazil_Southeast,Brazil_Northeast},{1,1.366163791294639,Brazil_Southeast,Brazil_Northeast},{1,0.6580814427527333,Brazil_Southeast,Brazil_Northeast},{1,1.5831792497825996,Brazil_Southeast,Caribbean},{1,1.8592884568059986,Brazil_Southeast,Caribbean},{1,1.356927034781823,SouthAmerica,CentralAmerica},{1,12.675526803815204,SouthEastAsia,Micronesia},{1,1.6689691758185008,Brazil_Southeast,Brazil_Northeast},{1,1.5814379628446948,Brazil_Northeast,SouthAmerica},{1,2.178698459375181,Brazil_Southeast,Brazil_North},{1,1.4975848291209142,Brazil_Southeast,SouthAmerica},{1,1.6186189157171604,Brazil_Southeast,Caribbean},{1,2.191973651636824,Brazil_Southeast,CentralAmerica},{1,1.8770653478824566,Brazil_Southeast,SouthAmerica},{1,2.158702817941144,Brazil_Southeast,Brazil_Northeast},{1,1.4480462546377764,Brazil_Southeast,Caribbean},{1,0.9361981830840166,Brazil_Southeast,Brazil_North},{1,3.0500928502019806,Polynesia,Brazil_Southeast},{1,3.6351881692795196,SouthEastAsia,Polynesia}} 27
40000	23.0	{{1,0.6516673799537918,Brazil_Northeast,Brazil_North},{1,1.493305842388311,SouthAmerica,Brazil_North},{1,1.1454128794499507,Brazil_Northeast,Brazil_Southeast},{1,1.1650577678890408,Brazil_Northeast,Brazil_Southeast},{1,1.5394320484122628,Brazil_Northeast,Brazil_Southeast},{1,0.6439357278169425,Brazil_North,Brazil_Southeast},{1,0.5175447269119386,SouthAmerica,Brazil_Southeast},{1,1.89429245150171,SouthAmerica,Caribbean},{1,1.8679372217884807,Brazil_Northeast,Caribbean},{1,0.9580455907376979,SouthAmerica,CentralAmerica},{1,13.57540306779462,SouthEastAsia,Micronesia},{1,2.404456608344065,Brazil_Northeast,Brazil_Southeast},{1,2.3114898089014138,Brazil_Northeast,Brazil_North},{1,2.1212848088715712,Brazil_Northeast,Brazil_North},{1,1.7062866763851414,SouthAmerica,Caribbean},{1,2.222013940050843,Brazil_Northeast,SouthAmerica},{1,2.002190512777407,Brazil_Northeast,CentralAmerica},{1,1.5881692461407984,Brazil_Northeast,SouthAmerica},{1,1.505968204928807,Brazil_Northeast,Brazil_Southeast},{1,1.4998883710389401,Brazil_Southeast,Caribbean},{1,2.040565988757652,Brazil_Northeast,Brazil_Southeast},{1,2.8660602502844283,Polynesia,Brazil_Northeast},{1,4.118761173003298,SouthEastAsia,Polynesia}} 23
45000	30.0	{{1,1.7561146684699747,Brazil_Northeast,SouthAmerica},{1,1.2429168880528263,SouthAmerica,Brazil_North},{1,0.9024991502939981,Brazil_Northeast,Brazil_North},{1,1.1985913929706893,SouthAmerica,Brazil_North},{1,0.401153502512091,Brazil_Southeast,Brazil_North},{1,1.6789887113592754,Brazil_Northeast,Brazil_Southeast},{1,1.738774551296953,Brazil_Northeast,SouthAmerica},{1,1.6431641398225822,SouthAmerica,Brazil_Southeast},{1,0.8436073230041331,Brazil_Northeast,Brazil_Southeast},{1,0.6368140009819168,Brazil_Northeast,Brazil_Southeast},{1,1.5474983358745626,Brazil_Northeast,Brazil_Southeast},{1,0.8728595441530214,Brazil_Northeast,Brazil_Southeast},{1,0.9053232895971398,Brazil_Northeast,Brazil_Southeast},{1,0.4572981332027859,SouthAmerica,Caribbean},{1,1.8183067201397438,Brazil_Northeast,Caribbean},{1,1.0998367196409395,SouthAmerica,CentralAmerica},{1,10.466235193242339,SouthEastAsia,Micronesia},{1,1.9342991843705746,Brazil_Northeast,Brazil_Southeast},{1,1.3451458109456274,Brazil_Northeast,Caribbean},{1,0.8706677979364742,Brazil_Northeast,Brazil_Southeast},{1,1.4691543796569217,Brazil_Northeast,Brazil_North},{1,1.843541712892552,Brazil_Northeast,CentralAmerica},{1,1.6690767913788043,SouthAmerica,Caribbean},{1,2.073836150133549,Brazil_Northeast,SouthAmerica},{1,1.8762044953157666,Brazil_Northeast,Brazil_North},{1,1.724457616669766,Brazil_Northeast,SouthAmerica},{1,2.820163676007268,Polynesia,Brazil_Northeast},{1,4.201915108955221,SouthEastAsia,Polynesia},{1,9.872395813813982,SouthEastAsia,Micronesia},{1,9.783514465379307,Micronesia,SouthEastAsia}} 30
