# BEAST v1.8.4
# Generated Thu Apr 27 14:15:35 BST 2017 [seed=1493298934669]
# ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.UCLN-Skyline.1500.completehistory_asymRegion.sub8.n10.xml
state	totalChangeCount	completeHistory_1
0	24.0	{{1,0.20127836816361344,Brazil_Southeast,Brazil_North},{1,0.9978220472485346,SouthAmerica,Brazil_North},{1,1.0350965329890884,Brazil_Northeast,Brazil_North},{1,0.6472409540027048,Caribbean,Brazil_Northeast},{1,1.709797606230667,Brazil_Southeast,Brazil_Northeast},{1,1.154232073373491,Brazil_Northeast,Brazil_Southeast},{1,0.11674041483988695,SouthAmerica,Caribbean},{1,0.6979344379741425,SouthAmerica,Caribbean},{1,0.4834230915733264,SouthAmerica,Caribbean},{1,12.52796969710431,SouthEastAsia,Micronesia},{1,0.8784704498280426,Caribbean,SouthAmerica},{1,0.5792003252248759,Brazil_Southeast,SouthAmerica},{1,2.062490292503736,Brazil_Southeast,Caribbean},{1,1.5663660604955547,Brazil_Southeast,CentralAmerica},{1,1.662249380939762,Brazil_Southeast,Brazil_North},{1,1.7084159739667502,Brazil_Southeast,SouthAmerica},{1,1.1858960196393424,Brazil_Southeast,Caribbean},{1,0.9103427655412636,SouthAmerica,CentralAmerica},{1,1.3273142934513609,Brazil_Northeast,SouthAmerica},{1,0.6472599257913165,Brazil_North,Brazil_Southeast},{1,1.9233385245303665,Brazil_Northeast,Brazil_North},{1,1.9785622411695387,Brazil_Southeast,Brazil_Northeast},{1,2.3503858479958493,Polynesia,Brazil_Southeast},{1,5.363949130427137,SouthEastAsia,Polynesia}} 24
5000	30.0	{{1,0.31143149247482105,Brazil_Southeast,Brazil_North},{1,1.0922855094223125,Brazil_Southeast,Brazil_North},{1,0.858007898994957,Brazil_Southeast,Brazil_North},{1,1.0415663000115383,Brazil_Northeast,Brazil_North},{1,0.859417358495878,Caribbean,Brazil_Northeast},{1,0.9048944931601473,Brazil_Northeast,Brazil_Southeast},{1,0.6580329684767247,Brazil_Southeast,Caribbean},{1,0.7591837999362813,SouthAmerica,Caribbean},{1,0.9112122764504169,Brazil_Southeast,Caribbean},{1,0.5146295154433383,Caribbean,SouthAmerica},{1,1.1388864824233913,Brazil_Southeast,SouthAmerica},{1,0.8692932241858733,Brazil_Southeast,SouthAmerica},{1,9.066459590330826,Polynesia,Brazil_North},{1,8.397352075345458,Brazil_North,SouthEastAsia},{1,16.525451250231416,Micronesia,Brazil_Northeast},{1,11.27995399575818,Brazil_Northeast,SouthEastAsia},{1,4.5169587931612,Polynesia,SouthEastAsia},{1,1.4314323048373219,Brazil_Southeast,Brazil_North},{1,1.3671775524240817,Brazil_Southeast,SouthAmerica},{1,1.5304101430621317,Brazil_Southeast,Brazil_North},{1,1.8057804012154084,Brazil_Southeast,CentralAmerica},{1,1.8537618082453227,Brazil_Southeast,Brazil_Northeast},{1,1.133259899034654,Brazil_Southeast,Caribbean},{1,0.8531087742147831,SouthAmerica,CentralAmerica},{1,1.4414322646653948,Brazil_Northeast,SouthAmerica},{1,1.7884523352716535,Brazil_Southeast,Brazil_Northeast},{1,2.2873574845952227,Brazil_Southeast,Caribbean},{1,2.497798443542074,Polynesia,Brazil_Southeast},{1,12.050041576102338,Micronesia,Brazil_North},{1,11.565430605285393,Brazil_North,Polynesia}} 30
10000	27.0	{{1,0.26745762333275386,Brazil_Southeast,Brazil_North},{1,0.9633796310420051,SouthAmerica,Brazil_North},{1,1.8032733087739399,Brazil_Southeast,Brazil_North},{1,0.823544918361383,Brazil_Northeast,Brazil_North},{1,0.4491211889211173,Caribbean,Brazil_Northeast},{1,0.5621658901241648,Brazil_Northeast,Brazil_Southeast},{1,1.3433057760733846,SouthAmerica,Caribbean},{1,1.1970292698190799,SouthAmerica,Caribbean},{1,0.9641605948425469,SouthAmerica,Caribbean},{1,0.853506480545013,Brazil_Southeast,SouthAmerica},{1,6.887541224209491,Micronesia,SouthEastAsia},{1,2.2040073640235893,Brazil_Southeast,Brazil_Northeast},{1,1.5244864056021863,SouthAmerica,Caribbean},{1,1.5407206024761413,Brazil_Southeast,SouthAmerica},{1,0.8529699834282803,SouthAmerica,CentralAmerica},{1,1.458899101919596,Brazil_Northeast,SouthAmerica},{1,1.8019598810155202,Brazil_Southeast,Brazil_Northeast},{1,1.3078226466075282,Brazil_Southeast,Brazil_North},{1,1.8447851334684282,Brazil_Southeast,CentralAmerica},{1,1.6493936217311707,Brazil_Southeast,Brazil_North},{1,1.6094268623084536,Brazil_Southeast,SouthAmerica},{1,2.375636402914679,Brazil_Southeast,Caribbean},{1,2.570601062421028,Polynesia,Brazil_Southeast},{1,8.463640118889398,SouthEastAsia,Brazil_Southeast},{1,7.023349849903414,Brazil_Southeast,SouthAmerica},{1,4.38962812407431,SouthAmerica,Polynesia},{1,12.25478867937047,Micronesia,SouthEastAsia}} 27
15000	28.0	{{1,0.2155196662274856,Brazil_Southeast,Brazil_North},{1,1.3743884336899328,SouthAmerica,Brazil_Southeast},{1,1.0911922360758686,Brazil_Southeast,Brazil_North},{1,0.5767682005838366,Brazil_Northeast,Brazil_North},{1,0.6123488678691495,Brazil_Northeast,Brazil_North},{1,0.9244659543182498,Caribbean,Brazil_Northeast},{1,0.39748621654253075,SouthAmerica,Brazil_Southeast},{1,0.8295368183936883,Brazil_Northeast,Brazil_Southeast},{1,0.8143083765300498,Brazil_Northeast,Brazil_Southeast},{1,0.64189351302544,SouthAmerica,Caribbean},{1,1.0544620567038188,SouthAmerica,Caribbean},{1,1.1841281058361277,SouthAmerica,Caribbean},{1,0.6061893183239816,Caribbean,SouthAmerica},{1,1.6074721099744647,Brazil_Northeast,SouthAmerica},{1,0.9526663175138809,SouthAmerica,CentralAmerica},{1,1.3552898689206208,Brazil_Northeast,SouthAmerica},{1,1.2177985537012312,Brazil_Southeast,Caribbean},{1,1.8704000477519072,Brazil_Northeast,Brazil_Southeast},{1,1.4750765510171453,Brazil_Northeast,Brazil_North},{1,1.057629863969993,Brazil_Northeast,Brazil_Southeast},{1,1.633871570017015,Brazil_Southeast,CentralAmerica},{1,2.012063802484683,SouthAmerica,Brazil_Southeast},{1,1.5396018713089252,SouthAmerica,Brazil_North},{1,2.289408251828651,Brazil_Northeast,SouthAmerica},{1,2.4952018538382954,Caribbean,Brazil_Northeast},{1,2.542275341946699,Polynesia,Caribbean},{1,5.391612290765851,SouthEastAsia,Polynesia},{1,14.752441008111184,Micronesia,SouthEastAsia}} 28
20000	27.0	{{1,0.1610156139595888,Brazil_Southeast,Brazil_North},{1,1.0903416685340221,SouthAmerica,Brazil_North},{1,1.1344965574124328,Brazil_Southeast,Brazil_North},{1,0.6385001363571081,Brazil_Northeast,Brazil_North},{1,1.5366488050306497,Caribbean,Brazil_Northeast},{1,1.257326340318453,Caribbean,Brazil_Southeast},{1,1.4751282905781948,Brazil_Northeast,Brazil_Southeast},{1,0.9479811824206785,SouthAmerica,Caribbean},{1,1.0320657181351338,Brazil_Southeast,Caribbean},{1,1.4296318869163953,SouthAmerica,Caribbean},{1,12.202245801062551,SouthEastAsia,Polynesia},{1,9.510795405644497,Polynesia,Micronesia},{1,0.9664676144117899,Caribbean,SouthAmerica},{1,1.4788224574246747,Brazil_Southeast,SouthAmerica},{1,0.4642608722329449,Brazil_Southeast,Brazil_North},{1,1.715399919870055,Brazil_Southeast,Caribbean},{1,1.06323951547395,SouthAmerica,CentralAmerica},{1,1.2279822927788266,Brazil_Northeast,SouthAmerica},{1,1.9976186002145078,Brazil_Southeast,Brazil_Northeast},{1,1.6197947421388115,Caribbean,SouthAmerica},{1,1.6490446624540254,Brazil_Southeast,Caribbean},{1,1.5126572548427129,Brazil_Southeast,Brazil_North},{1,1.4480380845958747,Brazil_Southeast,CentralAmerica},{1,2.1724811557500057,Brazil_Southeast,Brazil_Northeast},{1,1.916659677911899,Brazil_Southeast,Caribbean},{1,2.719177939018376,Polynesia,Brazil_Southeast},{1,4.263251114002951,SouthEastAsia,Polynesia}} 27
25000	27.0	{{1,0.30017868601123165,Brazil_Southeast,Brazil_North},{1,1.5895939263012633,Brazil_Southeast,Brazil_North},{1,0.43082321749467223,Brazil_Southeast,Brazil_North},{1,0.6667184360573204,Brazil_Northeast,Brazil_North},{1,1.1004445404679153,Caribbean,Brazil_Northeast},{1,1.742958211831045,Brazil_Southeast,Brazil_Northeast},{1,0.2579918920974884,Brazil_Northeast,Brazil_Southeast},{1,0.9073794388004285,Brazil_Southeast,Caribbean},{1,0.33340545733403604,SouthAmerica,Caribbean},{1,0.6214571822245528,Brazil_Southeast,Caribbean},{1,15.68849010000673,SouthEastAsia,Micronesia},{1,0.6257061163399122,Caribbean,SouthAmerica},{1,1.7223481579405855,Brazil_Southeast,SouthAmerica},{1,1.0006923406777029,Brazil_Southeast,SouthAmerica},{1,1.4068182744701017,Brazil_Southeast,Brazil_Northeast},{1,1.069929464782151,SouthAmerica,CentralAmerica},{1,1.7082000826781565,Brazil_Southeast,SouthAmerica},{1,1.7851212842135227,Brazil_Southeast,Brazil_Northeast},{1,1.9650931125246878,Brazil_Southeast,Caribbean},{1,0.6439133443731782,Brazil_Southeast,Brazil_North},{1,1.1314256764831798,Brazil_Southeast,SouthAmerica},{1,1.7817129427826512,Brazil_Southeast,Brazil_North},{1,1.5985822228717483,Brazil_Southeast,CentralAmerica},{1,1.18233543618986,Brazil_Southeast,Caribbean},{1,2.45636324947498,Brazil_Southeast,Brazil_Northeast},{1,2.5895846853623063,Polynesia,Brazil_Southeast},{1,5.889553126058929,SouthEastAsia,Polynesia}} 27
30000	30.0	{{1,0.1265578029859219,Brazil_Southeast,Brazil_North},{1,1.0935503924998344,Brazil_Southeast,Brazil_North},{1,1.6391230103641035,Brazil_Southeast,Brazil_North},{1,0.8057391479829119,Brazil_Northeast,Brazil_North},{1,1.0201640942549335,Caribbean,Brazil_Northeast},{1,0.988120930990247,Brazil_Southeast,Brazil_Northeast},{1,0.7182889557435569,Brazil_Northeast,Brazil_Southeast},{1,0.39322218367730377,Brazil_Southeast,SouthEastAsia},{1,0.31749459947110414,SouthEastAsia,Caribbean},{1,0.9563235542848936,SouthAmerica,Caribbean},{1,0.3836977026447298,Brazil_Southeast,Caribbean},{1,11.488135830070629,SouthEastAsia,Polynesia},{1,10.870646708767085,Polynesia,Brazil_North},{1,9.482251597770441,Brazil_North,Micronesia},{1,0.8362508312482562,Caribbean,SouthAmerica},{1,0.919365590856497,Brazil_Southeast,SouthAmerica},{1,1.2635646966078955,Brazil_Southeast,Caribbean},{1,0.9615903660126044,Caribbean,SouthAmerica},{1,0.8150707361875624,SouthAmerica,CentralAmerica},{1,1.568308374164214,Brazil_Northeast,SouthAmerica},{1,1.8087547416789749,Brazil_Southeast,Brazil_Northeast},{1,1.5550334854389076,Brazil_Southeast,Brazil_North},{1,1.0530017669318692,Brazil_Southeast,SouthAmerica},{1,1.3095565486267375,Brazil_Southeast,CentralAmerica},{1,0.8384153581341897,Brazil_Southeast,Brazil_North},{1,1.288369202122737,Brazil_Southeast,Caribbean},{1,1.8937951005292277,Brazil_Southeast,Brazil_Northeast},{1,2.2461985402867093,Caribbean,Brazil_Southeast},{1,2.5778913332893847,Polynesia,Caribbean},{1,3.867629452956249,SouthEastAsia,Polynesia}} 30
35000	28.0	{{1,0.31450687744476447,Brazil_Southeast,Brazil_North},{1,0.9994575285538018,Brazil_Northeast,Brazil_North},{1,1.5151857862688196,Brazil_Northeast,Brazil_North},{1,1.3456170088962964,Brazil_Northeast,Brazil_North},{1,1.0118449950887451,Caribbean,Brazil_Northeast},{1,0.6713609725515657,Brazil_Northeast,Brazil_Southeast},{1,0.5295586641220553,Brazil_Northeast,Brazil_Southeast},{1,1.0648856588997948,Brazil_Northeast,Brazil_Southeast},{1,1.2008101203627466,Brazil_Northeast,Caribbean},{1,0.3004112196787906,SouthAmerica,Caribbean},{1,1.0064383941839545,Brazil_Northeast,Caribbean},{1,9.85625206054548,SouthEastAsia,Micronesia},{1,0.821877359972421,Caribbean,SouthAmerica},{1,0.24931487691415022,Brazil_Northeast,SouthAmerica},{1,1.2234888572887814,Brazil_Northeast,SouthAmerica},{1,2.2211638965618543,Brazil_Northeast,Caribbean},{1,1.2152414365865694,Brazil_Southeast,Caribbean},{1,1.320367674726244,Brazil_Northeast,Brazil_Southeast},{1,0.9346080571909149,SouthAmerica,CentralAmerica},{1,1.2018353698281032,Brazil_Northeast,SouthAmerica},{1,1.765712106095768,Brazil_Northeast,Brazil_North},{1,1.4330401237547432,Brazil_Northeast,SouthAmerica},{1,1.5945632971667874,Brazil_Northeast,CentralAmerica},{1,1.4707608169380118,Brazil_Northeast,Brazil_Southeast},{1,1.128224993344897,Brazil_Northeast,Brazil_North},{1,0.919385209379712,Brazil_Northeast,Brazil_Southeast},{1,2.4758716723033425,Polynesia,Brazil_Northeast},{1,5.086484823149823,SouthEastAsia,Polynesia}} 28
40000	34.0	{{1,0.612953749935302,Brazil_Southeast,Brazil_North},{1,1.1507843243080025,SouthAmerica,Brazil_North},{1,1.4764488692511413,SouthAmerica,Brazil_North},{1,1.3085580645766923,Brazil_North,SouthEastAsia},{1,1.2884959500170843,SouthEastAsia,Brazil_North},{1,1.7095622941163717,Brazil_Northeast,Brazil_North},{1,0.9085406479035257,Caribbean,Brazil_Northeast},{1,1.261806341886925,SouthAmerica,Brazil_Northeast},{1,0.9334205928857943,SouthAmerica,Brazil_Southeast},{1,0.5804847711588736,SouthAmerica,Brazil_Southeast},{1,1.0744800767317555,Brazil_Northeast,Brazil_Southeast},{1,1.6382510068002996,SouthAmerica,CentralAmerica},{1,1.4388774169542111,CentralAmerica,Brazil_Southeast},{1,1.607127452767422,SouthAmerica,Caribbean},{1,1.2490035400488415,SouthAmerica,Caribbean},{1,0.592629463618436,SouthAmerica,Caribbean},{1,1.0871065647962115,SouthAmerica,Caribbean},{1,15.221470484047266,SouthEastAsia,Micronesia},{1,11.514055794589362,SouthEastAsia,SouthAmerica},{1,10.715874162187443,SouthAmerica,CentralAmerica},{1,6.743162250429848,CentralAmerica,SouthEastAsia},{1,2.4735164938748366,SouthAmerica,Caribbean},{1,1.8818570446655811,SouthAmerica,Brazil_North},{1,1.7348632197025082,SouthAmerica,CentralAmerica},{1,1.9746336740635921,SouthAmerica,Brazil_Southeast},{1,2.0785846738512186,SouthAmerica,Brazil_Northeast},{1,1.0559747395904582,SouthAmerica,Caribbean},{1,0.9214037237223407,SouthAmerica,CentralAmerica},{1,1.681966484698198,Brazil_Northeast,SouthAmerica},{1,1.849133566151742,SouthAmerica,Brazil_Northeast},{1,1.144713456663459,SouthAmerica,Brazil_Southeast},{1,1.330167524222373,SouthAmerica,Brazil_North},{1,2.5411120737729966,Polynesia,SouthAmerica},{1,4.969264503215966,SouthEastAsia,Polynesia}} 34
45000	33.0	{{1,0.42626305468019793,Brazil_Southeast,Brazil_North},{1,1.029323864112836,SouthAmerica,Brazil_North},{1,2.149910919897771,Brazil_Southeast,Brazil_North},{1,0.6026770054511283,Brazil_Northeast,SouthAmerica},{1,0.4429317835324702,SouthAmerica,Brazil_North},{1,1.5687904064831564,Caribbean,Brazil_Northeast},{1,1.1159837713328182,SouthAmerica,Brazil_North},{1,0.9411458627880124,Brazil_North,Brazil_Southeast},{1,0.8431968303176767,Brazil_Northeast,Brazil_Southeast},{1,0.26863302772968356,SouthAmerica,Caribbean},{1,0.28340644755236166,SouthAmerica,Caribbean},{1,0.8145635744226631,SouthAmerica,Caribbean},{1,12.083745682949544,Caribbean,Brazil_Southeast},{1,11.09216660444439,Brazil_Southeast,Micronesia},{1,0.6223498938180145,Caribbean,SouthAmerica},{1,0.46588601668716256,Brazil_Southeast,SouthAmerica},{1,8.657318484812665,Brazil_Southeast,SouthEastAsia},{1,5.846753579409312,Brazil_Southeast,SouthEastAsia},{1,2.3987651328754604,Polynesia,SouthEastAsia},{1,1.3513914870013302,Brazil_Southeast,Caribbean},{1,1.8077166427623894,Brazil_Southeast,CentralAmerica},{1,0.837230685055799,Brazil_Southeast,Brazil_North},{1,1.3320787523178894,Brazil_Northeast,Brazil_Southeast},{1,0.961513040166114,SouthAmerica,CentralAmerica},{1,1.3047282923824153,Brazil_Northeast,SouthAmerica},{1,2.111711488925759,Brazil_Southeast,Brazil_Northeast},{1,2.289971619379818,Brazil_Northeast,Brazil_Southeast},{1,2.290691698206132,Brazil_Northeast,Caribbean},{1,1.6571487601864725,SouthAmerica,Brazil_North},{1,1.8817817377592871,Brazil_Northeast,SouthAmerica},{1,2.6618522841305374,Polynesia,Brazil_Northeast},{1,9.771600341078994,Brazil_Southeast,Polynesia},{1,12.118016078351182,Caribbean,Brazil_Southeast}} 33
