# BEAST v1.8.4
# Generated Thu Apr 27 13:27:51 BST 2017 [seed=1493296069730]
# ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.UCLN-Skyline.1500.completehistory_asymRegion.sub6.n10.xml
state	totalChangeCount	completeHistory_1
0	21.0	{{1,1.0443482233316344,SouthAmerica,Brazil_North},{1,1.2801773495577413,Brazil_North,Brazil_Northeast},{1,1.219415488523141,Brazil_North,Brazil_Southeast},{1,0.7915166155104586,Caribbean,Brazil_Southeast},{1,1.2119506678957102,Brazil_North,Brazil_Southeast},{1,0.7473180545048885,Brazil_North,Brazil_Southeast},{1,0.875511950242606,SouthAmerica,Brazil_Southeast},{1,0.1963398524963227,SouthAmerica,Caribbean},{1,1.6614941959623872,Brazil_Northeast,Caribbean},{1,12.297010111466578,SouthEastAsia,Micronesia},{1,0.9510702040724406,Caribbean,SouthAmerica},{1,1.5646555336783423,Brazil_Northeast,Caribbean},{1,1.3183953965135797,Brazil_North,Brazil_Southeast},{1,0.8526664863387476,Brazil_Northeast,Brazil_Southeast},{1,1.538542520064678,Brazil_North,Brazil_Northeast},{1,1.4119924407524227,Brazil_North,SouthAmerica},{1,1.497252812195753,Brazil_North,CentralAmerica},{1,1.895737018448127,Brazil_North,SouthAmerica},{1,2.2196160229892907,Brazil_Northeast,Brazil_North},{1,2.6736949249955595,Polynesia,Brazil_Northeast},{1,3.265194163856763,SouthEastAsia,Polynesia}} 21
5000	22.0	{{1,1.5254711444501146,Brazil_Northeast,Brazil_North},{1,1.0984391558542697,Brazil_Southeast,Brazil_North},{1,1.2268088221207867,Brazil_North,Brazil_Northeast},{1,1.3185202661060051,SouthAmerica,Brazil_Southeast},{1,0.8486522229684288,Caribbean,Brazil_Southeast},{1,1.114359880348055,CentralAmerica,Brazil_Southeast},{1,0.5796845925245369,Brazil_North,Brazil_Southeast},{1,0.48726192341496266,SouthAmerica,Caribbean},{1,1.6609829263499691,Brazil_Northeast,Caribbean},{1,0.7575209845469604,Caribbean,SouthAmerica},{1,1.7512281008399753,Brazil_Northeast,SouthAmerica},{1,1.229350578563883,Brazil_Northeast,Brazil_Southeast},{1,2.0363182179944412,Brazil_Northeast,CentralAmerica},{1,1.3111163346351573,CentralAmerica,Brazil_Southeast},{1,1.509949415670296,Brazil_Northeast,Caribbean},{1,1.8316339100346921,Brazil_North,CentralAmerica},{1,1.551856430006998,SouthAmerica,Brazil_Southeast},{1,1.76199128271863,Brazil_North,SouthAmerica},{1,2.2146282629626555,Brazil_Northeast,Brazil_North},{1,2.566964307068638,Polynesia,Brazil_Northeast},{1,5.558429514805553,SouthEastAsia,Polynesia},{1,14.642792360903497,Micronesia,SouthEastAsia}} 22
10000	29.0	{{1,0.6060464814188082,Brazil_Northeast,Brazil_North},{1,1.459179162312339,Brazil_Northeast,Brazil_North},{1,0.586184543021427,Brazil_Northeast,Brazil_North},{1,1.1217724517082002,SouthAmerica,Brazil_North},{1,1.2244208778449348,Brazil_North,Brazil_Northeast},{1,1.0652573387983104,Brazil_Northeast,Brazil_North},{1,0.4536559408011672,Brazil_North,Brazil_Southeast},{1,0.8444131278778398,Brazil_Northeast,Brazil_Southeast},{1,1.1172008168785943,Brazil_North,Brazil_Southeast},{1,0.4656188787395875,Brazil_Northeast,Brazil_Southeast},{1,0.3559681692224148,SouthAmerica,Brazil_Southeast},{1,0.33011811454812423,SouthAmerica,Caribbean},{1,1.674482565953118,Brazil_Northeast,Caribbean},{1,10.91943584544401,SouthEastAsia,Polynesia},{1,9.764038407171466,Polynesia,Micronesia},{1,0.8322861933316147,Caribbean,SouthAmerica},{1,1.8824575401796693,Brazil_North,SouthAmerica},{1,2.0225915889267925,Brazil_Northeast,Brazil_North},{1,2.022008000849661,Brazil_North,Brazil_Northeast},{1,1.7186984741448381,Brazil_Northeast,CentralAmerica},{1,2.3160088087161608,Brazil_Northeast,Brazil_North},{1,1.366210066406249,Brazil_Northeast,Caribbean},{1,1.6038538407183656,Brazil_Northeast,Brazil_North},{1,1.5774476505013226,Brazil_Northeast,SouthAmerica},{1,1.7319466141829558,Brazil_Northeast,Brazil_North},{1,1.4234015916887213,Brazil_North,Brazil_Southeast},{1,1.8679725285629192,Brazil_Northeast,Brazil_Southeast},{1,2.6540437055103814,Polynesia,Brazil_Northeast},{1,5.516240747381793,SouthEastAsia,Polynesia}} 29
15000	26.0	{{1,1.1419272935895768,Brazil_Northeast,Brazil_North},{1,0.775593137081193,Brazil_Northeast,Brazil_North},{1,1.4167107971437918,Brazil_Northeast,Brazil_North},{1,0.606256600091156,Brazil_Northeast,Brazil_North},{1,0.9710330849924311,Brazil_Northeast,Brazil_North},{1,1.271967779789429,SouthAmerica,Brazil_North},{1,0.38564399555750417,Brazil_Northeast,Brazil_Southeast},{1,0.6370991906666036,Brazil_Northeast,Brazil_Southeast},{1,0.4788816797825204,Brazil_North,Brazil_Southeast},{1,0.3744775060409007,SouthAmerica,Brazil_Southeast},{1,0.3751009657910199,SouthAmerica,Caribbean},{1,1.6572374079627312,Brazil_Northeast,Caribbean},{1,0.6013952626237682,Brazil_Northeast,SouthAmerica},{1,13.278366198761205,Micronesia,SouthEastAsia},{1,3.427253139475305,Micronesia,SouthEastAsia},{1,6.691297712989531,Micronesia,SouthEastAsia},{1,1.4337802139292648,Brazil_Northeast,Brazil_North},{1,1.6079499922282852,Brazil_Northeast,Brazil_Southeast},{1,0.9157714947508437,Brazil_Northeast,Brazil_Southeast},{1,1.4818589223287657,Brazil_Northeast,SouthAmerica},{1,1.6556062422413516,Brazil_Southeast,CentralAmerica},{1,1.8465832627213346,Brazil_Northeast,Brazil_Southeast},{1,1.7504197746750365,Brazil_Northeast,SouthAmerica},{1,1.5031782934116447,Brazil_Northeast,Caribbean},{1,2.691585076686612,Polynesia,Brazil_Northeast},{1,5.874448808002887,Micronesia,Polynesia}} 26
20000	25.0	{{1,0.6584860662636525,Brazil_Northeast,Brazil_North},{1,1.4712491814426178,SouthAmerica,Brazil_North},{1,1.2236492154596543,Brazil_North,Brazil_Northeast},{1,1.6457698793772633,Caribbean,Brazil_Northeast},{1,0.8591039695168089,Brazil_Northeast,Brazil_Southeast},{1,1.0923106830776932,Brazil_Northeast,Brazil_Southeast},{1,0.7478717452851757,CentralAmerica,Brazil_Southeast},{1,0.3861089426357507,Brazil_North,Brazil_Southeast},{1,0.4710428155121891,SouthAmerica,Brazil_Southeast},{1,0.7003280290848709,SouthAmerica,Brazil_Southeast},{1,0.676999432661722,Brazil_Southeast,Caribbean},{1,13.686014893253331,SouthEastAsia,Micronesia},{1,0.8655378658068359,Caribbean,SouthAmerica},{1,1.2726209596968234,Brazil_Northeast,Brazil_Southeast},{1,1.2519877774834707,Brazil_Southeast,Caribbean},{1,1.5707477634866676,Brazil_Northeast,Brazil_Southeast},{1,1.1647645549584982,Brazil_Northeast,SouthAmerica},{1,1.73708901206467,Brazil_North,Brazil_Southeast},{1,1.8708102530743649,Brazil_Northeast,Brazil_North},{1,1.8089097727076457,Brazil_Northeast,Brazil_North},{1,1.8216943617475114,Brazil_Northeast,SouthAmerica},{1,2.1298595357810095,Brazil_Northeast,CentralAmerica},{1,1.7209080665166196,Brazil_Northeast,Caribbean},{1,2.742562522890618,Polynesia,Brazil_Northeast},{1,5.436058637106195,SouthEastAsia,Polynesia}} 25
25000	30.0	{{1,1.754958318387792,Brazil_Northeast,Brazil_North},{1,0.8065371806758506,Brazil_Northeast,Brazil_North},{1,1.2488770834601384,Brazil_North,Brazil_Northeast},{1,0.8624875706997006,Brazil_Northeast,Brazil_Southeast},{1,1.112546222981395,Caribbean,Brazil_Southeast},{1,1.8649997351066416,Brazil_Northeast,Brazil_Southeast},{1,1.0403770808867756,Brazil_North,Brazil_Southeast},{1,0.9928817282878453,Brazil_North,Caribbean},{1,0.9718281600480363,Caribbean,Brazil_North},{1,0.5021371329091886,Brazil_North,Brazil_Southeast},{1,1.6867178972942298,Brazil_Northeast,Caribbean},{1,10.414902419825399,SouthEastAsia,Micronesia},{1,0.6643515166819687,Brazil_North,SouthAmerica},{1,1.050587779596492,Caribbean,SouthAmerica},{1,0.7315822020928913,Caribbean,SouthAmerica},{1,13.430640409731758,SouthEastAsia,Micronesia},{1,10.386114669843323,Micronesia,SouthEastAsia},{1,5.186950978733651,Polynesia,Micronesia},{1,2.480603587686254,Micronesia,SouthEastAsia},{1,1.8299611819349382,Brazil_Northeast,Brazil_North},{1,1.1772673326159901,Brazil_Northeast,Brazil_Southeast},{1,1.6551168783479648,Brazil_Northeast,SouthAmerica},{1,1.6184550672143476,Brazil_Northeast,Caribbean},{1,1.929333530014431,Brazil_Northeast,Brazil_Southeast},{1,1.901158296641332,Brazil_Northeast,CentralAmerica},{1,1.549862656258736,Brazil_North,Caribbean},{1,1.662536493237235,Brazil_North,SouthAmerica},{1,1.9419474626092075,Brazil_Northeast,Brazil_North},{1,2.6079173059963012,Polynesia,Brazil_Northeast},{1,9.981600466659074,SouthEastAsia,Polynesia}} 30
30000	29.0	{{1,1.0787511220939048,Brazil_Northeast,Brazil_North},{1,1.0817656081919729,Brazil_Northeast,Brazil_North},{1,1.595473407546767,Brazil_Northeast,Brazil_North},{1,1.80617429115525,Brazil_Northeast,Brazil_North},{1,1.3860919422091733,Brazil_Northeast,Brazil_North},{1,1.480224521796387,SouthAmerica,Brazil_North},{1,1.4332966795141608,Caribbean,Brazil_Northeast},{1,0.6908930448876107,Brazil_Northeast,Brazil_Southeast},{1,0.8049512663357475,Caribbean,Brazil_Southeast},{1,1.8557715066679648,Brazil_Northeast,Brazil_Southeast},{1,0.7037187588774965,Brazil_North,Brazil_Southeast},{1,1.0667628896620902,SouthAmerica,Brazil_Southeast},{1,0.5057055408074907,SouthAmerica,Caribbean},{1,1.1424121167861396,Caribbean,SouthAmerica},{1,14.349772533485792,Micronesia,Caribbean},{1,9.944661184412741,Caribbean,SouthAmerica},{1,8.612820138101588,SouthAmerica,SouthEastAsia},{1,2.1184865350250104,Brazil_Northeast,Brazil_North},{1,1.5772643520057044,Brazil_Northeast,Caribbean},{1,2.010874403936876,Brazil_Northeast,Brazil_North},{1,2.003006126201659,Brazil_North,Brazil_Southeast},{1,2.017799414360655,Brazil_Northeast,CentralAmerica},{1,1.9392005500390876,Brazil_Northeast,SouthAmerica},{1,2.015917055822343,Brazil_Northeast,Caribbean},{1,1.4774456001175955,Brazil_Northeast,Brazil_Southeast},{1,1.4787904260065048,Brazil_Northeast,SouthAmerica},{1,2.660022048084003,Polynesia,Brazil_Northeast},{1,5.7298682200942,SouthEastAsia,Polynesia},{1,15.98667208091917,Micronesia,SouthEastAsia}} 29
35000	23.0	{{1,1.1552876577400522,Brazil_Northeast,Brazil_North},{1,1.2323179733746459,Brazil_Northeast,Brazil_North},{1,0.572506321887083,Brazil_Northeast,Brazil_North},{1,1.0384757817949657,Brazil_Northeast,Brazil_North},{1,1.1509578992468152,SouthAmerica,Brazil_North},{1,0.28460366431539996,Brazil_Northeast,Brazil_Southeast},{1,1.1412048099802379,Caribbean,Brazil_Southeast},{1,1.6753485615221786,Brazil_Northeast,Brazil_Southeast},{1,0.6092987535805355,Brazil_North,Brazil_Southeast},{1,0.45080721962353487,SouthAmerica,Brazil_Southeast},{1,0.9374570818141418,SouthAmerica,Caribbean},{1,1.6752494355354932,Brazil_Northeast,Caribbean},{1,10.843493139943737,SouthEastAsia,Micronesia},{1,0.9611881305786419,Caribbean,SouthAmerica},{1,1.091835520218699,Brazil_Northeast,Brazil_Southeast},{1,1.513933040717035,Brazil_Northeast,SouthAmerica},{1,1.1534260850338067,Brazil_Northeast,Brazil_Southeast},{1,1.3628803491081398,Brazil_Northeast,Caribbean},{1,2.0605124576397507,Brazil_Northeast,Brazil_North},{1,1.587890008698166,Brazil_Northeast,CentralAmerica},{1,1.8213967850873312,Brazil_Northeast,SouthAmerica},{1,2.7843448197032727,Polynesia,Brazil_Northeast},{1,5.884092835316783,SouthEastAsia,Polynesia}} 23
40000	28.0	{{1,1.181256639798725,Brazil_Northeast,Brazil_North},{1,1.2807158350966696,Brazil_Northeast,Brazil_North},{1,1.313919347368914,Brazil_Northeast,Brazil_North},{1,0.7862986965526377,Brazil_Northeast,Brazil_North},{1,1.0942884395380708,Brazil_Northeast,Brazil_North},{1,1.3693716822295383,SouthAmerica,Brazil_North},{1,1.2138831647639345,Brazil_Northeast,Brazil_Southeast},{1,1.2514284175488744,Brazil_Northeast,Brazil_Southeast},{1,0.7905203311288616,Brazil_Northeast,Brazil_Southeast},{1,1.1677029140321094,Brazil_North,Brazil_Southeast},{1,1.5745137533874742,SouthAmerica,Brazil_Northeast},{1,0.7687867046156341,Brazil_Northeast,Brazil_Southeast},{1,0.6273747127262029,SouthAmerica,Caribbean},{1,1.6573474618988917,Brazil_Northeast,Caribbean},{1,12.12265744027291,SouthEastAsia,Micronesia},{1,1.1694556879101183,Caribbean,CentralAmerica},{1,0.9039043743853842,CentralAmerica,SouthAmerica},{1,5.473555321092125,Polynesia,SouthEastAsia},{1,1.8405603754887985,Brazil_Northeast,SouthAmerica},{1,1.8316790127413036,Brazil_Northeast,CentralAmerica},{1,1.9432513568404584,Brazil_Northeast,Brazil_North},{1,2.037503619334029,Brazil_Northeast,Brazil_Southeast},{1,1.7542597267960152,Brazil_Northeast,SouthAmerica},{1,0.9260621192521941,Brazil_Northeast,Brazil_Southeast},{1,1.3503017093352914,Brazil_Northeast,Caribbean},{1,2.830476583709041,Polynesia,Brazil_Northeast},{1,8.886443646322205,SouthEastAsia,Brazil_Southeast},{1,8.486687151020815,Brazil_Southeast,Polynesia}} 28
45000	22.0	{{1,1.4066620841468669,SouthAmerica,Brazil_North},{1,1.2560839378804656,Brazil_North,Brazil_Northeast},{1,0.6323761680683397,Brazil_North,Brazil_Southeast},{1,0.4344777598960441,Brazil_North,Brazil_Southeast},{1,0.37070883150786127,Brazil_North,Brazil_Southeast},{1,0.8879464502398338,SouthAmerica,Brazil_Southeast},{1,0.21968382898176475,SouthAmerica,Caribbean},{1,1.6837993044203974,Brazil_Northeast,Caribbean},{1,0.7373683116129468,Caribbean,SouthAmerica},{1,5.3038330429690905,Micronesia,SouthEastAsia},{1,1.5203282377260627,Brazil_North,SouthAmerica},{1,1.3894151273097055,Brazil_Southeast,Brazil_Northeast},{1,1.692845260163767,Brazil_North,Brazil_Southeast},{1,1.8484834801518355,Brazil_North,CentralAmerica},{1,1.939279661342638,Brazil_North,SouthAmerica},{1,2.354800306607276,Brazil_Northeast,Brazil_North},{1,1.9736842139237918,Brazil_Northeast,Brazil_Southeast},{1,1.1845201088882549,Brazil_Southeast,Caribbean},{1,1.5647423363041717,Brazil_Northeast,Brazil_Southeast},{1,2.590234378364164,Polynesia,Brazil_Northeast},{1,3.467227176765047,SouthEastAsia,Polynesia},{1,12.035887345068417,Micronesia,SouthEastAsia}} 22
