# BEAST v1.8.4
# Generated Thu Apr 27 12:55:55 BST 2017 [seed=1493294153388]
# ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.UCLN-Skyline.1500.completehistory_asymRegion.sub5.n10.xml
state	totalChangeCount	completeHistory_1
0	24.0	{{1,1.4600645777627972,SouthAmerica,Brazil_North},{1,0.9214563330112922,Brazil_Southeast,Brazil_North},{1,1.2832159296238683,Brazil_North,Brazil_Northeast},{1,0.7840087323932983,Brazil_Southeast,Brazil_Northeast},{1,0.6515745805723352,Brazil_Southeast,Brazil_Northeast},{1,0.7036393874119046,Brazil_North,Brazil_Southeast},{1,1.706968405997978,SouthAmerica,Brazil_Southeast},{1,1.153026378015154,Brazil_Northeast,Brazil_Southeast},{1,1.044209826050599,SouthAmerica,CentralAmerica},{1,0.7876139841667285,SouthAmerica,CentralAmerica},{1,12.539126890866394,SouthEastAsia,Micronesia},{1,0.9156000810022997,Caribbean,SouthAmerica},{1,0.8250179266346576,Caribbean,SouthAmerica},{1,1.9678477334302011,Brazil_Northeast,Caribbean},{1,1.6117023820313383,Brazil_Southeast,CentralAmerica},{1,1.8038773612330983,Brazil_Southeast,Brazil_North},{1,1.4196209013772507,SouthAmerica,Caribbean},{1,1.988739854601609,Brazil_Southeast,SouthAmerica},{1,1.4384017788837467,Brazil_Southeast,SouthAmerica},{1,2.4349435989826635,Brazil_Northeast,Brazil_Southeast},{1,2.4017959554711106,Brazil_Northeast,Brazil_North},{1,2.5389666261807315,Brazil_Southeast,Brazil_Northeast},{1,2.8829210039402984,Polynesia,Brazil_Southeast},{1,3.915669694262374,SouthEastAsia,Polynesia}} 24
5000	35.0	{{1,1.4800843840292588,Caribbean,Brazil_North},{1,1.9146831126001134,Brazil_North,SouthEastAsia},{1,1.3463273065862513,SouthEastAsia,Brazil_North},{1,1.5326905366911137,Brazil_Southeast,Brazil_North},{1,1.2841595843523212,Brazil_Southeast,Brazil_Northeast},{1,1.3212656852639646,Brazil_North,Brazil_Northeast},{1,1.0581879855258687,Brazil_Southeast,Brazil_Northeast},{1,2.172780497622196,Brazil_Southeast,Brazil_Northeast},{1,1.3313810831846153,Brazil_Southeast,Brazil_Northeast},{1,1.0694319020873788,Brazil_North,Brazil_Southeast},{1,1.8289127554645388,SouthAmerica,Micronesia},{1,1.5537527797143809,Micronesia,Brazil_Southeast},{1,0.8413545960747983,SouthAmerica,CentralAmerica},{1,0.9133167676237806,SouthAmerica,CentralAmerica},{1,13.324749957754424,CentralAmerica,Micronesia},{1,1.1020226288548645,Caribbean,SouthAmerica},{1,1.1019667088628853,Caribbean,SouthAmerica},{1,3.1468936373762073,Brazil_North,SouthEastAsia},{1,17.228180027378908,CentralAmerica,SouthEastAsia},{1,16.70840474254437,SouthEastAsia,Caribbean},{1,11.672544712929245,Caribbean,SouthAmerica},{1,9.093967923722428,SouthAmerica,CentralAmerica},{1,6.0171241266044255,CentralAmerica,SouthEastAsia},{1,2.099836834597982,SouthAmerica,Brazil_North},{1,1.7095300589917026,SouthAmerica,Caribbean},{1,2.5906789342754886,Brazil_Southeast,SouthAmerica},{1,2.2265560638978954,Brazil_Southeast,Brazil_North},{1,1.7286522431589102,Brazil_Southeast,CentralAmerica},{1,1.516957793517134,Brazil_Southeast,Caribbean},{1,1.4811155667761033,Brazil_Southeast,SouthAmerica},{1,2.5109378929193933,Brazil_Southeast,Brazil_Northeast},{1,2.8227722834822315,Polynesia,Brazil_Southeast},{1,7.153558110692703,Brazil_North,Polynesia},{1,10.045679036816392,SouthEastAsia,Brazil_North},{1,14.02054987528862,CentralAmerica,SouthEastAsia}} 35
10000	31.0	{{1,1.5438307505797293,Brazil_Southeast,Brazil_North},{1,1.8753706773594347,Brazil_Southeast,Brazil_North},{1,1.3091254944352257,Brazil_North,Brazil_Northeast},{1,0.8002908685570035,Brazil_Southeast,Brazil_Northeast},{1,1.0577477105542468,Brazil_Southeast,Brazil_Northeast},{1,0.49971143148815944,Brazil_North,Brazil_Southeast},{1,1.5807604383124791,Brazil_Northeast,Brazil_Southeast},{1,1.1981811768314379,SouthAmerica,CentralAmerica},{1,0.9260178166332343,SouthAmerica,CentralAmerica},{1,1.5867091929126735,Brazil_Southeast,SouthAmerica},{1,0.7888104648231928,Caribbean,SouthAmerica},{1,1.120804664960561,Brazil_Southeast,SouthAmerica},{1,1.2256430720278952,Caribbean,SouthAmerica},{1,9.390750021865763,Micronesia,Brazil_Southeast},{1,7.040557699929057,Brazil_Southeast,SouthAmerica},{1,6.317925259620704,SouthAmerica,SouthEastAsia},{1,1.8957163640532533,Brazil_Northeast,Caribbean},{1,2.1325429188203326,Brazil_Southeast,Brazil_Northeast},{1,1.9443333770203013,Brazil_Southeast,Brazil_North},{1,1.7938797333422902,Brazil_Southeast,SouthAmerica},{1,1.610781332608725,Brazil_Southeast,CentralAmerica},{1,1.949073494604096,Brazil_Southeast,Brazil_North},{1,1.7609619565418424,Brazil_Southeast,Caribbean},{1,1.0527385534925584,Brazil_Southeast,SouthAmerica},{1,2.434415754379281,Brazil_Southeast,Brazil_Northeast},{1,2.670523905747375,Polynesia,Brazil_Southeast},{1,5.579395557705996,SouthEastAsia,Caribbean},{1,4.570782920997864,Caribbean,Brazil_North},{1,3.733489600873353,Brazil_North,Polynesia},{1,13.848542972033512,Micronesia,Caribbean},{1,13.09531916852922,Caribbean,SouthEastAsia}} 31
15000	26.0	{{1,1.2899444818275496,Brazil_Southeast,Brazil_North},{1,1.0984633639777188,Brazil_Southeast,Brazil_North},{1,0.761796826990816,Brazil_Southeast,Brazil_North},{1,1.1339465169449296,Brazil_Southeast,Brazil_Northeast},{1,1.3047896060777342,Brazil_North,Brazil_Northeast},{1,0.9746779609067389,Brazil_Southeast,Brazil_Northeast},{1,2.100332924491657,Brazil_Southeast,Brazil_Northeast},{1,0.9726234560413726,Brazil_Southeast,Brazil_Northeast},{1,1.5224715669872262,Brazil_North,Brazil_Southeast},{1,1.0327758087367904,SouthAmerica,CentralAmerica},{1,1.057043922538857,SouthAmerica,CentralAmerica},{1,11.44974022630844,SouthEastAsia,Micronesia},{1,1.8147503937037741,Brazil_North,SouthAmerica},{1,1.042377103212152,Caribbean,SouthAmerica},{1,1.441309331883739,Brazil_North,SouthAmerica},{1,1.100376494169879,Caribbean,SouthAmerica},{1,1.6526672886370821,Brazil_Southeast,SouthAmerica},{1,0.7557260520174691,Brazil_Southeast,Brazil_North},{1,2.343728569227827,Brazil_Southeast,Brazil_Northeast},{1,1.5265249826510319,Brazil_Southeast,Caribbean},{1,1.634711568405604,Brazil_North,SouthAmerica},{1,1.5483020507791556,Brazil_North,Caribbean},{1,2.241584282684677,Brazil_Southeast,Brazil_North},{1,1.9159216406814772,Brazil_Southeast,CentralAmerica},{1,2.675894882365439,Polynesia,Brazil_Southeast},{1,5.4202146948637715,SouthEastAsia,Polynesia}} 26
20000	24.0	{{1,1.2644669229963916,SouthAmerica,Brazil_North},{1,1.0755038899130307,Brazil_Southeast,Brazil_North},{1,1.3486270481799987,Brazil_Southeast,Brazil_Northeast},{1,1.305619746159503,Brazil_North,Brazil_Northeast},{1,0.9093491175190233,Brazil_Southeast,Brazil_Northeast},{1,1.5416221406077666,Brazil_Southeast,Brazil_Northeast},{1,1.8256739002836262,Brazil_Southeast,Brazil_Northeast},{1,0.8435664474684132,Brazil_North,Brazil_Southeast},{1,1.680540600695787,SouthAmerica,Brazil_Southeast},{1,1.3135555637973524,SouthAmerica,CentralAmerica},{1,0.9936231008399701,SouthAmerica,CentralAmerica},{1,11.309050114538206,SouthEastAsia,Micronesia},{1,0.7849996779894586,Caribbean,SouthAmerica},{1,1.4424013557060267,Brazil_Southeast,SouthAmerica},{1,1.6472895726201682,Brazil_Southeast,CentralAmerica},{1,2.090167580870069,SouthAmerica,Brazil_North},{1,1.4786989459264879,SouthAmerica,Caribbean},{1,2.2546690709043227,Brazil_Southeast,SouthAmerica},{1,1.6761527755869046,Brazil_Southeast,SouthAmerica},{1,1.5659661371081899,Brazil_Southeast,Caribbean},{1,2.2506352887645558,Brazil_Southeast,Brazil_North},{1,2.396199649958663,Brazil_Southeast,Brazil_Northeast},{1,3.0347449393933803,Polynesia,Brazil_Southeast},{1,3.8454387940753003,SouthEastAsia,Polynesia}} 24
25000	24.0	{{1,1.548359030245328,Brazil_Southeast,Brazil_North},{1,1.6430419710248982,SouthAmerica,Brazil_North},{1,1.1970266484402736,Brazil_Southeast,Brazil_North},{1,1.4662114974673688,Brazil_Southeast,Brazil_North},{1,1.613210332884159,Brazil_Southeast,Brazil_Northeast},{1,1.2874342859317303,Brazil_North,Brazil_Northeast},{1,1.371170590514088,Brazil_Southeast,Brazil_Northeast},{1,1.934513215510206,Brazil_Southeast,Brazil_Northeast},{1,0.35030862281932884,Brazil_Southeast,Brazil_Northeast},{1,12.028627742099598,SouthEastAsia,Micronesia},{1,1.2442293987258015,Brazil_Southeast,SouthAmerica},{1,0.7787403264045851,Caribbean,SouthAmerica},{1,1.52926283180154,Brazil_Southeast,SouthAmerica},{1,1.3373730937899935,SouthAmerica,CentralAmerica},{1,1.8182793913309099,Brazil_Southeast,SouthAmerica},{1,1.8671197344367143,Brazil_Southeast,CentralAmerica},{1,1.3028784974406815,SouthAmerica,Caribbean},{1,1.835518239304385,Brazil_Southeast,SouthAmerica},{1,1.883375541579621,Brazil_Southeast,Brazil_North},{1,1.4374899054814805,Brazil_Southeast,Caribbean},{1,0.8184858900224801,Brazil_Southeast,Brazil_North},{1,2.0784534246418516,Brazil_Southeast,Brazil_Northeast},{1,2.64338913294,Polynesia,Brazil_Southeast},{1,3.9338558134826154,SouthEastAsia,Polynesia}} 24
30000	30.0	{{1,1.3682620151063465,Brazil_Southeast,Brazil_North},{1,1.2382403339234467,SouthAmerica,Brazil_North},{1,0.6974731960469747,Brazil_Southeast,Brazil_North},{1,0.5925314586759729,Brazil_Southeast,Brazil_Northeast},{1,1.2877652437070148,Brazil_North,Brazil_Northeast},{1,0.8114548204107672,Brazil_Southeast,Brazil_Northeast},{1,1.8240171326833245,Brazil_Southeast,Brazil_Northeast},{1,0.35037442679873454,Brazil_Southeast,Brazil_Northeast},{1,1.0834521859770654,Brazil_North,Brazil_Southeast},{1,1.379973169667542,SouthAmerica,Brazil_Southeast},{1,1.0268067820591122,SouthAmerica,CentralAmerica},{1,0.9420866114108637,SouthAmerica,CentralAmerica},{1,14.9250259243604,Polynesia,Micronesia},{1,3.483143460179244,Polynesia,SouthEastAsia},{1,13.504653256036095,Brazil_Northeast,CentralAmerica},{1,10.97412712516714,CentralAmerica,SouthAmerica},{1,10.963315088795317,SouthAmerica,SouthEastAsia},{1,7.687687331035825,Polynesia,SouthEastAsia},{1,2.609049339219921,Brazil_Southeast,Brazil_Northeast},{1,1.3109609424210182,Caribbean,SouthAmerica},{1,2.1102636450310137,Brazil_Southeast,Caribbean},{1,1.9048121704852206,Brazil_Southeast,SouthAmerica},{1,2.0000722548395893,Brazil_Southeast,Brazil_North},{1,2.0638493415325643,Brazil_Southeast,CentralAmerica},{1,1.629652324536234,SouthAmerica,Caribbean},{1,2.283131841798429,Brazil_Southeast,SouthAmerica},{1,2.275881804874484,Brazil_Southeast,Brazil_North},{1,3.0737697739551697,Polynesia,Caribbean},{1,2.9408151134532847,Caribbean,Brazil_Southeast},{1,15.762910323202282,Brazil_Northeast,Polynesia}} 30
35000	29.0	{{1,0.4502384885120545,Brazil_North,Brazil_Northeast},{1,1.3304081053235666,Brazil_North,Brazil_Northeast},{1,1.076585378243074,Brazil_North,Brazil_Northeast},{1,1.489668657061931,Brazil_North,Brazil_Northeast},{1,0.31376697904526596,Brazil_North,Brazil_Northeast},{1,1.2464456309280978,Brazil_North,Brazil_Southeast},{1,0.7383789567504451,Brazil_North,Brazil_Southeast},{1,1.9405999466488104,Brazil_North,Brazil_Southeast},{1,1.8097956959854198,Brazil_North,Brazil_Southeast},{1,1.9079431609173194,Brazil_North,Brazil_Southeast},{1,1.7907909687253851,Brazil_North,Brazil_Southeast},{1,0.8646992052832838,Brazil_North,Brazil_Southeast},{1,1.0599617888813766,Brazil_North,Brazil_Southeast},{1,9.388463125904572,SouthEastAsia,Micronesia},{1,1.3435759678241994,Brazil_North,SouthAmerica},{1,1.3226509740926424,CentralAmerica,SouthAmerica},{1,0.9666326211204558,Caribbean,SouthAmerica},{1,0.8951489653667946,Brazil_North,SouthAmerica},{1,0.9757311241417035,Caribbean,SouthAmerica},{1,1.4091471335689643,Brazil_North,Caribbean},{1,1.328144321184927,Brazil_North,Caribbean},{1,1.3007639348634892,Brazil_North,SouthAmerica},{1,1.8409531426977164,Brazil_North,CentralAmerica},{1,1.9290864913747487,Brazil_North,Brazil_Southeast},{1,1.2392569369895214,CentralAmerica,SouthAmerica},{1,1.9067260315566663,Brazil_North,CentralAmerica},{1,2.486826834744729,Brazil_North,Brazil_Northeast},{1,2.74951613367419,Polynesia,Brazil_North},{1,4.767415561957362,SouthEastAsia,Polynesia}} 29
40000	31.0	{{1,1.0028700737055054,Brazil_North,Brazil_Northeast},{1,1.286211594813492,Brazil_North,Brazil_Northeast},{1,1.5184270617980142,Brazil_North,Brazil_Northeast},{1,2.0042605999522243,Brazil_North,Brazil_Northeast},{1,1.528492218260122,Brazil_North,Brazil_Northeast},{1,0.8010111479449937,Brazil_North,Brazil_Southeast},{1,0.6842612801761357,Brazil_North,Brazil_Southeast},{1,1.545739523489382,Brazil_North,Brazil_Southeast},{1,2.671025784085971,Brazil_North,Brazil_Southeast},{1,1.9228910855120922,Brazil_North,Brazil_Southeast},{1,1.3322151723280067,Brazil_North,Brazil_Northeast},{1,1.1658537360594168,Brazil_Northeast,Brazil_Southeast},{1,1.7020604835021658,Brazil_North,Brazil_Southeast},{1,1.0004061830423057,SouthAmerica,CentralAmerica},{1,1.0090984460288255,SouthAmerica,CentralAmerica},{1,13.598865675929545,SouthEastAsia,Micronesia},{1,1.9365343692431762,Brazil_North,SouthAmerica},{1,1.1231875485997864,Caribbean,SouthAmerica},{1,1.2332321314364676,Brazil_North,SouthAmerica},{1,1.262960545103056,Caribbean,SouthAmerica},{1,13.321363453069319,SouthEastAsia,Brazil_Southeast},{1,9.604263937458956,Brazil_Southeast,SouthEastAsia},{1,2.364356787876534,Brazil_North,Brazil_Northeast},{1,1.8631020733124068,Brazil_North,Caribbean},{1,1.8083722995366465,Brazil_North,SouthAmerica},{1,1.6964190205052145,Brazil_Southeast,CentralAmerica},{1,2.111052519647202,Brazil_North,Brazil_Southeast},{1,1.0748651329551748,Brazil_North,SouthAmerica},{1,1.3138863322610717,Brazil_North,Caribbean},{1,2.9087697485931385,Polynesia,Brazil_North},{1,5.968731740141907,SouthEastAsia,Polynesia}} 31
45000	28.0	{{1,0.6940953058548636,Brazil_North,Brazil_Northeast},{1,1.3067854200079174,Brazil_North,Brazil_Northeast},{1,0.30083452322699245,Brazil_North,Brazil_Northeast},{1,0.6867719428042718,Brazil_North,Brazil_Southeast},{1,0.9136947229965828,Brazil_Northeast,Brazil_Southeast},{1,0.7640017283683942,Brazil_North,Brazil_Southeast},{1,2.3372021942061028,Brazil_North,Brazil_Southeast},{1,1.2775965644415899,Brazil_North,Brazil_Southeast},{1,1.9101833771922636,Brazil_Northeast,Brazil_Southeast},{1,1.5901967775692252,Brazil_North,Brazil_Southeast},{1,1.1562348071593784,SouthAmerica,CentralAmerica},{1,0.8124896663815839,SouthAmerica,CentralAmerica},{1,1.1470290001969905,Brazil_North,SouthAmerica},{1,0.8798654378009277,Caribbean,SouthAmerica},{1,0.9810687767683761,Brazil_North,SouthAmerica},{1,1.0535327112196144,Caribbean,SouthAmerica},{1,1.948955419933292,Brazil_Southeast,CentralAmerica},{1,2.326750475591738,Brazil_North,Brazil_Southeast},{1,1.45173262746755,Brazil_North,Caribbean},{1,1.1683513124894354,Brazil_North,SouthAmerica},{1,1.6284242724078153,Brazil_Northeast,Caribbean},{1,2.125532271784798,Brazil_North,Brazil_Northeast},{1,2.012616301014499,Brazil_North,Brazil_Northeast},{1,1.8936121327595656,Brazil_North,SouthAmerica},{1,1.8022498332931811,Brazil_North,Brazil_Northeast},{1,2.908318333921352,Polynesia,Brazil_North},{1,4.245482445723605,SouthEastAsia,Polynesia},{1,14.526466356725155,Micronesia,SouthEastAsia}} 28
